speaker_id,sex,accent,age,n_total,n_kept
7eff9a54bdb0619deffda7609d5b8565278e3328de99e63908be2a37c1ad16516240b9c92bc6b68d8130b20dc556f57005dc053f4874a49589f5971a31b97e98,female_feminine,United States English,sixties,1778,30
a05406a5eba158bcb40734bd3ad652d38bdd7e8514c35a5e2111831e56084fb06df244b9dadd705142185c2fb74a0aa1e3429632930935e7809639f677105f61,female_feminine,United States English,twenties,369,30
70efccbeece8450b3b7ae006031e32b25e4370c91d5268cb8228e7da015920be3a8a0f2f29b4728671dfebfecf78a422a3cd20650cefffed8a98a339b6868b9a,male_masculine,,fifties,26,26
86555d8d6e72f13bfb4e6f527967f2fa1c4a8fa9721cf86ad72250a857862178a733c446ee6ec3f8b1f42365c9b8c8cb4eeeb6d0ec2a5ee862a404a07d9ab344,,,,6,6
a2576ccf04ad8c0dbe2b29f3843c1ed984d8bd91480766f4bf99c933d99ae8d2b32afc34c7e185b06c2b16deae4fbabb8030906be2455973e2d85d92b0afbc6e,male_masculine,Canadian English,fifties,2532,30
82da0ecebb638d9986b8a5d7f06d89bf0beae1489a0346153ad861d47a1012d433c1787831f51005a2d4966c67332411e27bd317ef29b8250a25c191f7272852,male_masculine,"India and South Asia (India, Pakistan, Sri Lanka)",twenties,5,5
064a2016c00e4edd9c4434e457a6beb17410df70500dd1d11c52fccd6ac7c5a7443504e27dc2dcc5e92ccc939c3bf8ea12de379c90c3f8ac250296e84f5d2fb9,,,,228,30
90774ec0f6ec48f6341e1d12bd9bea2ef2e29342a37f48982c124fae32ad2243b357819ab62a7221e65bcfca153014d262c22605c58999278317f96f6fecd733,male_masculine,United States English,twenties,93,30
58927dcf8a8e981d097471fc40ac91e5204eaeec38dee91a3dad83bd20362bba0e6fc3dcb8304ef0328ed0c48f4e9388ba012b66b21e932d75635aa6a2db253c,,,,17,17
372293e65cdab88771e028a4351651ab2eff64438ddafc211e089247dcdccca350153465eb5409ce708081d9ad384af45d1dc57bbe030ae1a2c0edd561322fb8,male_masculine,"German English,Non native speaker",fourties,8720,30
855f8a33eaaa82f29bc4b3f033c8b7ac436158da6dfe986a3c387c75de449b9d121431f112314aa34110a15230b60143f5bc272ec27a6168c35c4d37c901691e,female_feminine,Irish English,teens,159,30
b2a1b57109ae46b724ebd8c28d0d63daf3e6b8852cee7a77828cf6304b99955f5be4abe3b1eccef1721896d8e955652194bda3f20b3ed1fc91f00495297db75b,,,,6,6
27663beb8ca372f1067cd18902573b6fe62a7825668aa40c0aeacd462e63f217dfde1d505cdffc3baa923a11287ef2cf7bc657d808cc2b21ce50f0d86821d49f,male_masculine,United States English,thirties,5,5
ff6c256ddb6671198ea6bd7256a1e43c22a270209b2bd1ba8297c5cb9fc6db37307aaaa3c1dc4a4bd7d4a42da2b312813017fd0fb47844fe24b63b0d4129f441,male_masculine,,thirties,92,30
ac033bcb388b843d9826ed30f7b6bcbce5f9e8202097f796c10aff8c58d5e766bbb828804ce3d725b5354221db9b376d486fc0248be1e565d70f6a9bf77701de,male_masculine,,twenties,1305,30
e7dbf7f4ac96518681ef2d6e283c32cb5e416937d805afe4da4a8e8826553b733eef59050ec9edb98da07f032f09f947a1f58998e1950e4bad032a5648449505,female_feminine,United States English,thirties,44,30
dcac4ff5a9838d81c23810b05e38208bdc9342e7b45d655aab4ba7b8ed9d4b8688d7275bf9d0f5cfc9b8a23a4fbe395adb8ed17a11b02241ea1fe18f2b9ad997,male_masculine,,fourties,149,30
34ff5ad8db33561f4bfb74af391c451a0368e5ec0acc299f526a28bf2d18b7321eafb89138fd7fd867be609666eb0ea65489b1323feb0c06af4307c9fecdd6a2,male_masculine,England English,fifties,182,30
3c9b36decab172c516e345d2df4c6621ebe89115e41690baef9c0e96ba299a329a76f9b14a05c511c4fa5b5c0f3da918c92b1e38a42984c29d50fac03a8532e3,male_masculine,United States English,fifties,14,14
3c0d9d6a3b88c93768a45f673941a03b112625587ce881d44fffec82fa33a69f4b57efb6b6882a8f8bff868d6f6ab7e850af4724dd394508b6e54d8262274bed,male_masculine,England English,thirties,76,30
915e8190f7466eb7dfa8ef0ba063d989bc393dec25d34ce44fe02613fa6ac24e3c9ca8d679b808ce6bd10dc8a144109aee67b2f7015dbb392d758e4faf9fccc8,female_feminine,England English,twenties,9,9
a69b78a5b405ec7ecbc99ce1b2a7c8d6a27d871eaabfa4217f9b59125c9a0f77503f07218d5ec5f14a6da2006ddf8e3af363ce4d017b468d0a7428dc2ff30d66,male_masculine,United States English,thirties,100,30
5010b63eacf8b5e53da43a53c40df713e3fb16b994fea8f231b1d4f1b4a04e62feda49377578d60be46e0f049e719bcabbd4255091285f101641f66bcece2321,male_masculine,England English,twenties,24,24
f95c9f478228e092e2955d5f9ac7f3ed04e8e3d6dae1cde6bb7ff2906bd5196e116ed863adfbbe02dd7c2012665a5d5d3f85d447a1c9cc58d293eeded5ee1763,male_masculine,England English,thirties,323,30
05bfb787a2fe71560f433afa69df0e5af51b561e188c113ff22b11697722e96fd4f63dbcf2cb37e1decbcb27805d2cd4c064e9071ae06be20d3c3f087292c456,male_masculine,United States English,teens,42,30
3624350a77945245cdeae1d4f61878ccb725b1b62904ea746b5a81527b827ba905a71394faeee3807dcb53256eeef70bd5abdd9ff0cd53707f1eaee126f17f2a,male_masculine,United States English,twenties,15,15
a7ed9304a14df702cdef85a96308592c0c81eca81e82cdd65da5e13ba6d5689d4318d0e7459b51d5cd0ef3edadc0244cc2e80e605ee7171c8782e0ab719d9d3f,female_feminine,"Southern African (South Africa, Zimbabwe, Namibia)",twenties,13,13
41a8056f9a379f859cd0e169f447778f00a2d5dd086ce6068a0ead6b6cc64d738a31d86c3bf74d70e3c6d362c4e588cb6d5c0f0e1fba8300d644a71697883861,female_feminine,"Southern African (South Africa, Zimbabwe, Namibia)",twenties,119,30
56495deedf1921c65d048c7d00922383cfe43845889ecbe62fc92e3a5e010c0f00519a19932d8cff2ec7f93db1b8a68cf5fa4b6e75381b009f3a5bf3b75edd73,,,,6,6
1bba4c1acc280ff1ecff98e0886c6ea65795e65d3f3234fb1fc2aae4c9d8ec40cfca77ab4c108aa343bfa93ad147dfabb2fc52b60cacba353bbcb6719af1c386,male_masculine,United States English,teens,7,7
8e113a62d59ae29f19f0e423fbcf978aaa9eefc16913ce4901b0aa105ff590bb7c6ea13da0c5583c0772d6905c0a964d355e8667edd35c7a08442c2312439d79,female_feminine,"India and South Asia (India, Pakistan, Sri Lanka)",twenties,508,30
17b4b7a72bc021668abea07a6c2cca028fd4214184292482fb63594c61c665b63bcbc2c94d6bad9d6e35d676865ed5c766b9ce9cba4cb7b7093f805be98df5a9,male_masculine,United States English,twenties,73,30
8495f5326051eb530abe7c370303d3850f0492003f62e73d7e758b9c06238337eaeb31f5aefad904006ba8d04b17174a2f2610ebd41c2e73dddfe443fd7e4ddf,,,,5,5
8449194e8b74b81d761d7a3786cdd5d099aff4f33737c7f476edf3435c3eb483ff6d6515d153c7cfb9193821f01a3a0bd6b049740b029acd7b1488df9bd579d8,female_feminine,Australian English,twenties,696,30
