stratum,config,q,d_used,m,PE,S,PM,PB
cohort:United States English,a_full_independence,2.0,40.0,1099511627776.0,0.009053713087691453,1100,9.094947017729282e-13,1.0
cohort:United States English,b_deff_point,2.0,11.673037108161033,3265.3843731436364,1.0,1,0.0003062426611165792,1.0
cohort:United States English,b_deff_ci_lo,2.0,11.042521177340593,2109.259928898812,1.0,1,0.0004740999372808799,1.0
cohort:United States English,b_deff_ci_hi,2.0,11.863477685686641,3726.1697541223843,1.0,1,0.00026837209949806155,1.0
cohort:United States English,a_full_independence,3.0,40.0,1.2157665459056929e+19,8.225263335764684e-10,12157665466,8.225263339969959e-20,0.9836353485654251
cohort:United States English,b_deff_point,3.0,11.673037108161033,371068.51945866377,1.0,1,2.6949200688294924e-06,1.0
cohort:United States English,b_deff_ci_lo,3.0,11.042521177340593,185618.62848762723,1.0,1,5.3873903074693655e-06,1.0
cohort:United States English,b_deff_ci_hi,3.0,11.863477685686641,457422.326817247,1.0,1,2.1861635109899824e-06,1.0
cohort:United States English,a_full_independence,5.0,40.0,9.094947017729283e+27,1.0995116276660488e-18,9094947022276757504,1.099511627776e-28,5.4975581232186715e-09
cohort:United States English,b_deff_point,5.0,11.673037108161033,144245674.26297158,1.0,1,6.932616905910944e-09,1.0
cohort:United States English,b_deff_ci_lo,5.0,11.042521177340593,52286681.02394433,1.0,1,1.912532944177613e-08,1.0
cohort:United States English,b_deff_ci_hi,5.0,11.863477685686641,195981487.3935209,1.0,1,5.102522760183214e-09,1.0
cohort:United States English,a_full_independence,10.0,40.0,1e+40,9.999999999e-31,10000000005000001776794262831104,1e-40,4.9999999995e-21
cohort:United States English,b_deff_point,10.0,11.673037108161033,471017570631.87463,0.021006847145084693,472,2.123063049767953e-12,1.0
cohort:United States English,b_deff_ci_lo,10.0,11.042521177340593,110286201098.91971,0.08668384321026071,111,9.067317488822229e-12,1.0
cohort:United States English,b_deff_ci_hi,10.0,11.863477685686641,730260290693.6549,0.013600414608993583,731,1.369374745887013e-12,1.0
cohort:United States English,c_qmaxcap_deff,1.366,11.673037108161033,38.130319079755296,1.0,1,0.026225849248949364,1.0
