subset_size,occupied,q_pow_subset,n_speakers,deff_occ,saturated
1,3.0,3.0,1736,1.0,False
2,9.0,9.0,1736,2.0,False
3,27.0,27.0,1736,3.0,False
4,79.56,81.0,1736,3.9836724011995037,False
5,232.04,243.0,1736,4.957990937095163,False
6,554.08,729.0,1736,5.750262531937295,False
7,918.92,2187.0,1736,6.210743442252952,False
8,1215.28,6561.0,1736,6.465183263615522,False
9,1453.8,19683.0,1736,6.628303881325329,False
10,1582.96,59049.0,1736,6.705779524836325,False
11,1659.68,177147.0,1736,6.748859600571425,True
12,1692.12,531441.0,1736,6.766479436207059,True
13,1713.16,1594323.0,1736,6.777727660752236,True
14,1721.92,4782969.0,1736,6.782370180233854,True
15,1729.08,14348907.0,1736,6.786147243238327,True
16,1731.76,43046721.0,1736,6.7875569828477715,True
17,1734.12,129140163.0,1736,6.788796590051047,True
18,1734.08,387420489.0,1736,6.788775593817227,True
19,1734.6,1162261467.0,1736,6.78904850708763,True
20,1735.2,3486784401.0,1736,6.78936330537077,True
21,1735.44,10460353203.0,1736,6.789489194206685,True
22,1735.68,31381059609.0,1736,6.7896150656342,True
23,1735.76,94143178827.0,1736,6.789657018909004,True
24,1735.68,282429536481.0,1736,6.7896150656342,True
25,1735.8,847288609443.0,1736,6.789677994821312,True
26,1735.88,2541865828329.0,1736,6.789719945195853,True
27,1735.92,7625597484987.0,1736,6.78974091965813,True
28,1735.84,22876792454961.0,1736,6.789698970250255,True
29,1735.92,68630377364883.0,1736,6.78974091965813,True
30,1735.92,205891132094649.0,1736,6.78974091965813,True
31,1735.92,617673396283947.0,1736,6.78974091965813,True
32,1735.96,1853020188851841.0,1736,6.789761893637109,True
33,1736.0,5559060566555523.0,1736,6.789782867132809,True
34,1736.0,1.667718169966657e+16,1736,6.789782867132809,True
35,1736.0,5.0031545098999704e+16,1736,6.789782867132809,True
36,1736.0,1.5009463529699914e+17,1736,6.789782867132809,True
37,1736.0,4.502839058909974e+17,1736,6.789782867132809,True
38,1736.0,1.350851717672992e+18,1736,6.789782867132809,True
39,1736.0,4.052555153018976e+18,1736,6.789782867132809,True
40,1736.0,1.2157665459056929e+19,1736,6.789782867132809,True
