stratum,config,q,d_used,m,PE,S,PM,PB
pooled,a_full_independence,2.0,40.0,1099511627776.0,0.009053713087691453,1100,9.094947017729282e-13,1.0
pooled,b_deff_point,2.0,12.419772571684968,5479.287434349347,1.0,1,0.00018250548305443075,1.0
pooled,b_deff_ci_lo,2.0,12.054104373691382,4252.526095671641,1.0,1,0.00023515434767533406,1.0
pooled,b_deff_ci_hi,2.0,12.596507661714849,6193.364590668077,1.0,1,0.000161463124826651,1.0
pooled,a_full_independence,3.0,40.0,1.2157665459056929e+19,8.225263335764684e-10,12157665466,8.225263339969959e-20,0.9836353485654251
pooled,b_deff_point,3.0,12.419772571684968,842825.1232345117,1.0,1,1.186485751827494e-06,1.0
pooled,b_deff_ci_lo,3.0,12.054104373691382,563987.402267369,1.0,1,1.7730892498303196e-06,1.0
pooled,b_deff_ci_hi,3.0,12.596507661714849,1023438.005799436,1.0,1,9.770987537431464e-07,1.0
pooled,a_full_independence,5.0,40.0,9.094947017729283e+27,1.0995116276660488e-18,9094947022276757504,1.099511627776e-28,5.4975581232186715e-09
pooled,b_deff_point,5.0,12.419772571684968,479787013.0976623,0.9999999991124726,1,2.084258166021777e-09,1.0
pooled,b_deff_ci_lo,5.0,12.054104373691382,266352873.43374792,1.0,1,3.754417916008471e-09,1.0
pooled,b_deff_ci_hi,5.0,12.596507661714849,637648019.2028537,0.9999998454322333,1,1.5682633206484908e-09,1.0
pooled,a_full_independence,10.0,40.0,1e+40,9.999999999e-31,10000000005000001776794262831104,1e-40,4.9999999995e-21
pooled,b_deff_point,10.0,12.419772571684968,2628890952030.0264,0.0037966598261215817,2629,3.8038854339994637e-13,1.0
pooled,b_deff_ci_lo,10.0,12.054104373691382,1132672544934.1387,0.00878981863005877,1133,8.828676959395593e-13,1.0
pooled,b_deff_ci_hi,10.0,12.596507661714849,3949186663440.5923,0.002528963732287899,3950,2.5321669630292546e-13,1.0
pooled,c_qmaxcap_deff,1.366,12.419772571684968,48.1311055709076,1.0,1,0.020776584874552324,1.0
