feature,group,coverage,status
F0,canonical41,0.9999,measured
jitter,canonical41,0.9999,measured
shimmer,canonical41,0.9999,measured
GCT,canonical41,0.9997,measured
CQ,canonical41,0.9997,measured
MFDR,canonical41,0.9997,measured
SQ,canonical41,0.9996,measured
NAQ,canonical41,0.9997,measured
SHR,canonical41,0.9998,measured
IHI,canonical41,0.9981,measured
VFI,canonical41,0.9997,measured
CPP,canonical41,1.0,measured
F1,canonical41,1.0,measured
F2,canonical41,1.0,measured
F3,canonical41,1.0,measured
F4,canonical41,1.0,measured
F5,canonical41,1.0,measured
B1,canonical41,1.0,measured
B2,canonical41,1.0,measured
B3,canonical41,1.0,measured
B4,canonical41,1.0,measured
B5,canonical41,1.0,measured
VTLE,canonical41,1.0,measured
Nasality,canonical41,1.0,measured
SpectralSkewness,canonical41,1.0,measured
SpectralKurtosis,canonical41,1.0,measured
SpectralEntropy,canonical41,1.0,measured
SpectralRolloff,canonical41,1.0,measured
SpectralFlux,canonical41,1.0,measured
AlphaRatio,canonical41,1.0,measured
LHR,canonical41,1.0,measured
SPI,canonical41,1.0,measured
GNE,canonical41,1.0,measured
dCPP,canonical41,1.0,measured
VOT,canonical41,0.0,NOT MEASURED
SpeechRate,canonical41,1.0,measured
BGD,canonical41,1.0,measured
SemitoneSDF0,canonical41,0.9999,measured
AMD,canonical41,1.0,measured
SSPF,canonical41,0.8858,measured
RMS,canonical41,1.0,measured
HNR,aux_HNR,1.0,measured
