subset_size,occupied,q_pow_subset,n_speakers,deff_occ,saturated
1,2.0,2.0,552,1.0,False
2,4.0,4.0,552,2.0,False
3,8.0,8.0,552,3.0,False
4,16.0,16.0,552,4.0,False
5,31.92,32.0,552,4.9963887464476215,False
6,61.76,64.0,552,5.948600847493356,False
7,109.08,128.0,552,6.7692427951405385,False
8,184.8,256.0,552,7.529820946528695,False
9,248.68,512.0,552,7.9581466737627204,False
10,314.88,1024.0,552,8.298658315564515,False
11,382.4,2048.0,552,8.578938713093386,False
12,418.96,4096.0,552,8.710668699674628,False
13,450.28,8192.0,552,8.814678588969901,False
14,483.08,16384.0,552,8.91611831474902,False
15,508.48,32768.0,552,8.990047219573796,False
16,520.28,65536.0,552,9.023144439746654,False
17,529.28,131072.0,552,9.04788732939655,True
18,534.12,262144.0,552,9.0610200963987,True
19,538.88,524288.0,552,9.073820233291672,True
20,544.32,1048576.0,552,9.08831123588866,True
21,545.92,2097152.0,552,9.092545741543566,True
22,548.12,4194304.0,552,9.098347966998038,True
23,549.0,8388608.0,552,9.100662339005199,True
24,550.16,16777216.0,552,9.103707440480393,True
25,550.92,33554432.0,552,9.105699027658797,True
26,551.12,67108864.0,552,9.106222672919124,True
27,551.2,134217728.0,552,9.10643207781693,True
28,551.44,268435456.0,552,9.10706011020335,True
29,551.64,536870912.0,552,9.107583261763235,True
30,551.92,1073741824.0,552,9.108315355387719,True
31,551.88,2147483648.0,552,9.108210793326364,True
32,551.92,4294967296.0,552,9.108315355387719,True
33,551.92,8589934592.0,552,9.108315355387719,True
34,551.92,17179869184.0,552,9.108315355387719,True
35,551.96,34359738368.0,552,9.108419909871287,True
36,552.0,68719476736.0,552,9.108524456778168,True
37,552.0,137438953472.0,552,9.108524456778168,True
38,552.0,274877906944.0,552,9.108524456778168,True
39,552.0,549755813888.0,552,9.108524456778168,True
40,552.0,1099511627776.0,552,9.108524456778168,True
