subset_size,occupied,q_pow_subset,n_speakers,deff_occ,saturated
1,2.0,2.0,1736,1.0,False
2,4.0,4.0,1736,2.0,False
3,8.0,8.0,1736,3.0,False
4,16.0,16.0,1736,4.0,False
5,32.0,32.0,1736,5.0,False
6,63.88,64.0,1736,5.9972924076365075,False
7,124.44,128.0,1736,6.9593064897596575,False
8,234.72,256.0,1736,7.874796965898665,False
9,384.56,512.0,1736,8.58706489836317,False
10,585.36,1024.0,1736,9.193180353742616,False
11,777.12,2048.0,1736,9.601993581248998,False
12,990.0,4096.0,1736,9.951284714966972,False
13,1138.84,8192.0,1736,10.153349356184878,False
14,1288.36,16384.0,1736,10.331320059516361,False
15,1438.88,32768.0,1736,10.49073056358964,False
16,1496.8,65536.0,1736,10.547665748353422,False
17,1562.28,131072.0,1736,10.609437328673257,False
18,1613.68,262144.0,1736,10.65613879872702,False
19,1630.32,524288.0,1736,10.670939449794796,False
20,1669.04,1048576.0,1736,10.704802815222468,True
21,1694.12,2097152.0,1736,10.726320353708418,True
22,1705.28,4194304.0,1736,10.73579292798531,True
23,1709.56,8388608.0,1736,10.739409342229195,True
24,1716.92,16777216.0,1736,10.745607103098157,True
25,1721.64,33554432.0,1736,10.749567787146056,True
26,1726.28,67108864.0,1736,10.753450771107847,True
27,1728.96,134217728.0,1736,10.755688776852708,True
28,1731.0,268435456.0,1736,10.757390009366638,True
29,1732.44,536870912.0,1736,10.75858967269477,True
30,1733.48,1073741824.0,1736,10.759455476226043,True
31,1733.52,2147483648.0,1736,10.759488765987587,True
32,1734.44,4294967296.0,1736,10.760254218569944,True
33,1734.8,8589934592.0,1736,10.760553632975741,True
34,1735.52,17179869184.0,1736,10.761152275431966,True
35,1735.6,34359738368.0,1736,10.76121877592938,True
36,1735.72,68719476736.0,1736,10.761318520928388,True
37,1735.8,137438953472.0,1736,10.761385013763393,True
38,1735.92,274877906944.0,1736,10.761484747270114,True
39,1736.0,549755813888.0,1736,10.76155123244448,True
40,1736.0,1099511627776.0,1736,10.76155123244448,True
