stratum,n_speakers,k_features,estimator,d_eff,ci_lo,ci_hi
pooled,1736,40,PR_pearson,12.419772571684968,12.054104373691382,12.596507661714849
pooled,1736,40,PR_spearman,11.385403012374212,11.085926640211657,11.603664348342098
pooled,1736,40,cell_occupancy_q2,10.76155123244448,10.06339508128851,10.133206389243197
pooled,1736,40,cell_occupancy_q3,6.789782867132809,6.353432837253434,6.393341410053926
sex=male_masculine,998,40,PR_pearson,12.586630837833278,11.993088246549869,12.799838593434275
sex=male_masculine,998,40,PR_spearman,11.643653966808143,11.178478785735127,11.956405120266727
sex=female_feminine,353,40,PR_pearson,13.137086438305166,12.093409754763416,13.244842844891478
sex=female_feminine,353,40,PR_spearman,12.575013333352183,11.530878353071069,12.845775561103519
accent=United States English,552,40,PR_pearson,11.673037108161033,11.056908109062544,11.8496163518482
accent=United States English,552,40,PR_spearman,11.056002265139876,10.46590686396943,11.304888147572576
accent=England English,191,40,PR_pearson,12.195840758971686,10.615882075943686,12.313592905100688
accent=England English,191,40,PR_spearman,11.411288922505259,10.150382839332242,11.677367053620937
"accent=India and South Asia (India, Pakistan, Sri Lanka)",108,40,PR_pearson,11.718907316438669,9.701385735575037,11.488158297824263
"accent=India and South Asia (India, Pakistan, Sri Lanka)",108,40,PR_spearman,11.101246405934747,9.42929843278098,11.035955038257109
accent=Canadian English,79,40,PR_pearson,10.177936523972672,8.262161226038726,10.000125633530887
accent=Canadian English,79,40,PR_spearman,9.28767137007445,7.692980564577821,9.303774118979058
age=twenties,576,40,PR_pearson,11.95381027109963,11.297497916333736,12.126857579117477
age=twenties,576,40,PR_spearman,11.095041670156125,10.515529684741784,11.37864731804138
age=thirties,305,40,PR_pearson,11.744508792234951,10.728314341096649,11.941403205080915
age=thirties,305,40,PR_spearman,11.041062065774566,10.192628207028978,11.298384811559451
age=fourties,166,40,PR_pearson,11.907365180400479,10.020218570378507,11.878950651134355
age=fourties,166,40,PR_spearman,11.312228325730702,9.906059911833209,11.53392092493079
age=teens,144,40,PR_pearson,10.735819580727712,9.278713453780574,10.99003725686109
age=teens,144,40,PR_spearman,10.419644872909538,9.035183562260473,10.64054255040986
age=fifties,101,40,PR_pearson,11.56972770023233,8.807743851789702,11.292318267483815
age=fifties,101,40,PR_spearman,10.828102239992532,9.013531315761373,10.915640535993196
age=sixties,67,40,PR_pearson,10.459206880189706,8.154429075656518,10.274310872675882
age=sixties,67,40,PR_spearman,9.73133766721593,7.670936640232365,9.807689465959946
