feature,within_var,between_var,F_ratio,ANOVA_F,p,q_max,crossrate_q2,crossrate_q3,crossrate_q5,crossrate_q10
F0,511.05531196358595,1710.2360966765882,3.346479444867696,37.09288257087655,0.0,2,0.11504503040760249,0.2004472089263766,0.3222869300852637,0.4780316684681415
jitter,3.8778636287429335e-05,3.849902615372155e-05,0.9927895831190323,10.155158981872189,0.0,1,0.21292733984533457,0.3317900393740446,0.4596592969949628,0.5864419096358101
shimmer,0.00040374143397303676,0.0005877248881757538,1.4556962420037478,14.081236769045676,0.0,2,0.18896458952949563,0.30254814678961245,0.43364865917937706,0.5730180112758241
GCT,0.5824832590462954,1.058697069092736,1.8175579343278454,17.985444934385715,0.0,2,0.15238972552753524,0.2561206438167215,0.395226867080864,0.5378572060544646
CQ,0.004255560436958343,0.0051738950310042395,1.2157963933658231,11.627693611094491,0.0,1,0.20452388073536817,0.31640881669839144,0.440906448283608,0.5745828512834849
MFDR,0.004073800984933699,0.002064888368903004,0.5068702120058548,5.019505118968219,0.0,1,0.26884497077620956,0.36540794539289495,0.46486839765290905,0.5720084656133515
SQ,4.148538958828875,2.4601392277427747,0.5930134083728763,5.372440080314988,0.0,1,0.2310367218809112,0.3377824492690205,0.45185306046453666,0.5675461499051798
NAQ,0.0021413706244689298,0.001637713945660202,0.7647970542541476,7.4678497206185295,0.0,1,0.2234288328269635,0.33698396241474143,0.45334389491554544,0.572108500312501
SHR,0.06601047062539347,0.03697161097181539,0.5600870683323508,5.682857430889282,0.0,1,0.2530391256110675,0.3560817273920915,0.4635366991004696,0.5772276365502595
IHI,4.92351359719671e-05,3.282895953719689e-05,0.6667790976730243,6.996331146647059,0.0,1,0.23369192715751513,0.35459489451170934,0.47509721093338364,0.5948847290650973
VFI,0.003651918031157304,0.0032904221914276115,0.9010120608826663,9.63502238154409,0.0,1,0.21270011635656938,0.24998587858870203,0.27572540364388504,0.2976180027430098
CPP,0.009335691544632574,0.02379296445734803,2.5486022480067336,26.601643681874815,0.0,2,0.1410526321262693,0.24558841803310705,0.380602932481154,0.534147398480445
F1,14860.721667276552,15327.66603567769,1.031421379045767,10.482264396671994,0.0,1,0.21227755574810758,0.315181138343768,0.4319200770851075,0.5531430881717798
F2,13595.116015183625,15685.002191206622,1.1537233057584004,11.103064198291666,0.0,1,0.22155141910672768,0.33268077613051394,0.4446048970642404,0.5733025905125763
F3,16640.833542865414,20022.789342046668,1.203232355546951,11.957271878977744,0.0,1,0.202884893878421,0.31172646278460386,0.4383080545956617,0.5641483813129436
F4,17078.617732695708,25912.166910487365,1.5172285788023994,14.712635252950355,0.0,2,0.19392491940482476,0.305810739113251,0.4310622395416765,0.564570830753418
F5,19509.19491959597,30486.992667607738,1.562698655339444,15.238204708814248,0.0,2,0.18908355343333264,0.3028941966877196,0.42869627629684015,0.5631396029158633
B1,6390.708897127396,7982.040548977583,1.2490070628260794,13.004668366897084,0.0,2,0.194377998748016,0.30959642380848124,0.43315099688527503,0.562598137211883
B2,5864.903520908478,7012.123813357463,1.1956077006823942,11.625872332529518,0.0,1,0.20533735159161232,0.31840306350930475,0.44175409410135147,0.572310738005873
B3,5496.595257724744,6485.107104039629,1.1798407559526347,11.062880958415262,0.0,1,0.2147071190104758,0.32310569890430535,0.4461958131305082,0.5714457038263522
B4,5143.282031186911,7022.394594924347,1.3653528140870383,12.93600496268547,0.0,1,0.2047590551271025,0.32099052088497565,0.44049905930840194,0.571623542813748
B5,11365.89041244338,13149.387926819285,1.156916655858597,10.948056219291434,0.0,1,0.2142121405717872,0.3255907673077433,0.4426670597855694,0.5710471497984446
