feature,b_star,q_eff,I_corrected,NMI_corrected,perm_p
F0,3,8,0.8584141345670971,0.09546928198164226,0.0
RMS,3,8,0.6571827039402299,0.07308915166869712,0.0
CPP,2,4,0.6569196098573556,0.07305989142917613,0.0
dCPP,2,4,0.5960692823467417,0.0662923688059428,0.0
HNR,2,4,0.5955696117645805,0.06623679750325177,0.0
AlphaRatio,2,4,0.5620276572073157,0.0625063995648979,0.0
LHR,2,4,0.5473357800093559,0.06087242953741338,0.0
F4,2,4,0.50442934891916,0.05610055311596843,0.0
VTLE,2,4,0.48808640256155805,0.05428295798164366,0.0
F5,2,4,0.48793681322118054,0.0542663212717587,0.0
SpectralRolloff,2,4,0.4871427563777687,0.054178009542442444,0.0
SpectralEntropy,2,4,0.47779007264532447,0.05313784260601597,0.0
SpectralKurtosis,2,4,0.46668712714844013,0.05190301877007877,0.0
shimmer,2,4,0.4661566718411359,0.05184402371714057,0.0
SpectralSkewness,2,4,0.4455478227438035,0.04955199246257302,0.0
SpectralFlux,2,4,0.4311255178017267,0.0479480031503109,0.0
F3,2,4,0.4043204123426898,0.04496684980186679,0.0
B1,2,4,0.3893185328345629,0.04329840259516013,0.0
F1,2,4,0.3771321187076756,0.04194307984385013,0.0
B4,2,4,0.3570608535586672,0.03971083646029338,0.0
F2,2,4,0.35059787702073714,0.038992050847738734,0.0
B3,2,4,0.33663364431149156,0.03743900644120813,0.0
B2,2,4,0.32625018497632563,0.03628420089072195,0.0
B5,2,4,0.3176501551073506,0.03532774101483026,0.0
jitter,2,4,0.30289548106405106,0.03368678698103239,0.0
SemitoneSDF0,2,4,0.24762131995381303,0.027539422601957655,0.0
AMD,2,4,0.17841790638085406,0.019842904175195176,0.0
SpeechRate,1,2,0.11928112140931131,0.01326595469057009,0.0
