feature,display,group,coverage,status
F0,F0,glottal_source,0.9998,measured
jitter,jitter,glottal_source,0.9999,measured
shimmer,shimmer,glottal_source,0.9999,measured
GCT,GCT,glottal_source,0.9996,measured
CQ,CQ,glottal_source,0.9996,measured
MFDR,MFDR,glottal_source,0.9996,measured
SQ,SQ,glottal_source,0.9996,measured
NAQ,NAQ,glottal_source,0.9996,measured
SHR,SHR,glottal_source,0.9997,measured
IHI,IHI,glottal_source,0.9979,measured
VFI,VFP,glottal_source,0.9995,measured
SemitoneSDF0,semitone_SD_F0,glottal_source,0.9998,measured
F1,F1,vocal_tract_filter,1.0,measured
F2,F2,vocal_tract_filter,1.0,measured
F3,F3,vocal_tract_filter,1.0,measured
F4,F4,vocal_tract_filter,1.0,measured
F5,F5,vocal_tract_filter,1.0,measured
B1,B1,vocal_tract_filter,1.0,measured
B2,B2,vocal_tract_filter,1.0,measured
B3,B3,vocal_tract_filter,1.0,measured
B4,B4,vocal_tract_filter,1.0,measured
B5,B5,vocal_tract_filter,1.0,measured
Nasality,Nasality,vocal_tract_filter,1.0,measured
SpectralSkewness,spectral_skewness,spectral_envelope,1.0,measured
SpectralKurtosis,spectral_kurtosis,spectral_envelope,1.0,measured
SpectralEntropy,spectral_entropy,spectral_envelope,1.0,measured
SpectralRolloff,spectral_rolloff,spectral_envelope,1.0,measured
SpectralFlux,spectral_flux,spectral_envelope,1.0,measured
AlphaRatio,alpha_ratio,spectral_envelope,1.0,measured
LHR,LHR,spectral_envelope,1.0,measured
SPI,SPI,spectral_envelope,1.0,measured
GNE,GNE,spectral_envelope,1.0,measured
SSPF,SSPF,spectral_envelope,0.8859,measured
CPP,CPP,articulatory_prosodic,1.0,measured
dCPP,dCPP,articulatory_prosodic,1.0,measured
RMS,RMS,articulatory_prosodic,1.0,measured
AMD,AMD,articulatory_prosodic,1.0,measured
SpeechRate,speech_rate,articulatory_prosodic,1.0,measured
VOT,VOT,articulatory_prosodic,0.0,NOT MEASURED
BGD,BGD,articulatory_prosodic,1.0,measured
HNR,HNR,aux_HNR,1.0,measured
