feature,display,collapsed_edges_q2,collapsed_edges_q3,collapsed_edges_q5,collapsed_edges_q10
F0,F0,0,0,0,0
jitter,jitter,0,0,0,0
shimmer,shimmer,0,0,0,0
GCT,GCT,0,0,0,0
CQ,CQ,0,0,0,0
MFDR,MFDR,0,0,0,0
SQ,SQ,0,0,0,0
NAQ,NAQ,0,0,0,0
SHR,SHR,0,0,0,0
IHI,IHI,0,0,0,0
VFI,VFP,0,0,0,1
SemitoneSDF0,semitone_SD_F0,0,0,0,0
F1,F1,0,0,0,0
F2,F2,0,0,0,0
F3,F3,0,0,0,0
F4,F4,0,0,0,0
F5,F5,0,0,0,0
B1,B1,0,0,0,0
B2,B2,0,0,0,0
B3,B3,0,0,0,0
B4,B4,0,0,0,0
B5,B5,0,0,0,0
Nasality,Nasality,0,0,0,0
SpectralSkewness,spectral_skewness,0,0,0,0
SpectralKurtosis,spectral_kurtosis,0,0,0,0
SpectralEntropy,spectral_entropy,0,0,0,0
SpectralRolloff,spectral_rolloff,0,0,0,0
SpectralFlux,spectral_flux,0,0,0,0
AlphaRatio,alpha_ratio,0,0,0,0
LHR,LHR,0,0,0,0
SPI,SPI,0,0,0,0
GNE,GNE,0,0,0,0
SSPF,SSPF,0,0,0,0
CPP,CPP,0,0,0,0
dCPP,dCPP,0,0,0,0
RMS,RMS,0,0,0,0
AMD,AMD,0,0,0,0
SpeechRate,speech_rate,0,0,0,0
BGD,BGD,0,0,0,0
