feature,display,parent_R2
F0,F0,0.32840863987673385
IHI,IHI,0.26711947779115897
GCT,GCT,0.20559165491788267
CPP,CPP,0.19012286831133607
dCPP,dCPP,0.13179930901330905
shimmer,shimmer,0.10836333423965572
jitter,jitter,0.09559518911884235
NAQ,NAQ,0.07671352591327785
F4,F4,0.07248629791875638
SHR,SHR,0.07197738878012361
B1,B1,0.044857258851417336
SSPF,SSPF,0.04207953583913304
F3,F3,0.041662965751737446
SpectralEntropy,spectral_entropy,0.041242973449403975
SpeechRate,speech_rate,0.026946888859519014
B2,B2,0.026083292144441717
F5,F5,0.025034466945529132
SemitoneSDF0,semitone_SD_F0,0.02307330521349904
SpectralRolloff,spectral_rolloff,0.02304631588455397
SQ,SQ,0.02205312447898855
BGD,BGD,0.021804346486966053
B5,B5,0.019652249561147972
AMD,AMD,0.019598991260425525
F2,F2,0.019568225923043192
VFI,VFP,0.01914725594645217
LHR,LHR,0.018442939822329585
F1,F1,0.014877306548117364
RMS,RMS,0.014667296137751418
AlphaRatio,alpha_ratio,0.014647701148975845
B4,B4,0.014278346383317042
Nasality,Nasality,0.01210272894634401
SPI,SPI,0.011678008557547193
SpectralSkewness,spectral_skewness,0.011555897024329576
MFDR,MFDR,0.010603192441471676
SpectralFlux,spectral_flux,0.009988591400462155
B3,B3,0.0069191343112881
GNE,GNE,0.005608137578644423
CQ,CQ,0.005546996425739303
SpectralKurtosis,spectral_kurtosis,0.004053284070074992
