feature,display,group,within_var,between_var,F_ratio_pooled,ANOVA_F,p,q_max_pooled,F_ratio_male,F_ratio_female,q_max_male,q_max_female,q_max_within,crossrate_q2_pooled,crossrate_q3_pooled
F0,F0,glottal_source,490.24238303421885,1699.953889655768,3.4675783826244815,44.635021276196404,0.0,3,1.446383596919256,2.1827832755806216,2,2,2,0.11951014259356356,0.19940780238187814
RMS,RMS,articulatory_prosodic,0.0002595730473252031,0.0008517892012788383,3.2815009495638585,35.75803031333877,0.0,2,2.6634040212995163,3.302254172009858,2,2,2,0.12095561514685946,0.21685320224230523
CPP,CPP,articulatory_prosodic,0.008149352060102703,0.021882409852490625,2.6851717401708193,33.689677021178774,0.0,2,2.105463539360372,1.7819028942656354,2,2,2,0.14527941184100923,0.2470072353246788
AlphaRatio,alpha_ratio,spectral_envelope,6.9946254515478055,16.624170366708412,2.376706298552374,27.934089130993648,0.0,2,2.3882354426133894,1.939788833624579,2,2,2,0.16196727451159315,0.27044817716713265
dCPP,dCPP,articulatory_prosodic,0.0004517026447440628,0.0010616700989312612,2.350373882651959,28.949629501352685,0.0,2,1.9766656395676916,1.9301360621926968,2,2,2,0.15665165312799412,0.26762589143105814
LHR,LHR,spectral_envelope,15.952538680744142,36.76379319825878,2.3045732051811485,27.452584270089357,0.0,2,2.1777727359533983,2.278227979105713,2,2,2,0.16585412008895603,0.2734412588255013
SpectralRolloff,spectral_rolloff,spectral_envelope,207423.35751847035,462790.1855498172,2.2311382434767855,26.170871031023697,0.0,2,2.0723175653449526,2.121455400437124,2,2,2,0.17449020822552408,0.28402434500387136
SPI,SPI,spectral_envelope,9.470331904449122,20.67746774816808,2.183394199569066,26.066168826083857,0.0,2,2.1362634803534557,1.8560406231785855,2,2,2,0.1709546083569661,0.28034101344746876
GCT,GCT,glottal_source,0.51506000664456,1.0496904901923712,2.037996498758943,25.203029484778366,0.0,2,1.2744935524107834,1.4436497379129274,2,2,2,0.14998623783741208,0.25417093890919074
SpectralFlux,spectral_flux,spectral_envelope,0.0006145583378561044,0.001209217663628761,1.9676206295518408,22.58280358005239,0.0,2,1.8919605777728619,1.7318931661854413,2,1,1,0.17925263819393428,0.2938236188379592
SpectralEntropy,spectral_entropy,spectral_envelope,0.0008728381022175777,0.0017087112446477772,1.9576496950654845,23.272718336563653,0.0,2,1.9199456417738248,1.7213107683294637,2,2,2,0.17655656962311453,0.28901485953139483
F4,F4,vocal_tract_filter,15328.00425053957,26691.06714735728,1.7413269667130808,20.89748795634687,0.0,2,1.4490286748102297,1.6279376060218074,1,2,1,0.18202409423211183,0.2932888339844265
F5,F5,vocal_tract_filter,17324.960062862,29809.08074932726,1.7205858276825916,20.026828099608895,0.0,2,1.7237155592528564,1.2447305609385388,2,1,1,0.1769988866443216,0.28903800672915425
B4,B4,vocal_tract_filter,4783.054571141732,8058.8580985196395,1.6848768874899043,19.64329537870475,0.0,2,1.5229027241548703,1.7155994320136527,1,2,1,0.1929357298080548,0.3059484397782666
shimmer,shimmer,glottal_source,0.0003784835681636342,0.0006025511512512973,1.5920140316125675,19.095636655376907,0.0,2,1.2201074158784975,1.5137374362636111,1,2,1,0.18305786237349805,0.29849414617075753
F3,F3,vocal_tract_filter,14918.561890603189,23615.570673700124,1.5829656267723067,18.134430987472438,0.0,2,1.3609803227489152,1.575080070298672,1,2,1,0.18768882296700692,0.29531908076994845
CQ,CQ,glottal_source,0.003712315406662733,0.0056283063499489895,1.5161174990270232,17.78864076182256,0.0,2,1.5007187330654579,1.164943078973684,2,1,1,0.18842354099015582,0.3021593162297022
F2,F2,vocal_tract_filter,12505.323578525855,18634.451573647748,1.4901215035848279,17.13303586233417,0.0,2,1.430704595439479,1.251432681389932,1,1,1,0.19972743069488544,0.31256182916482556
B1,B1,vocal_tract_filter,6390.69321951693,9349.764670401812,1.4630282426713883,17.56186503908444,0.0,2,1.3941611620418144,1.2267718708484994,2,1,1,0.18764508754965434,0.29971738601794673
B5,B5,vocal_tract_filter,10340.183250975957,14180.42799396238,1.3713903951000057,15.738073228283428,0.0,2,1.3185843462014433,1.141944299863171,1,1,1,0.19631101573863838,0.31413903950764155
B3,B3,vocal_tract_filter,5251.246762995933,7125.868939186819,1.3569861141169035,15.804199399419717,0.0,1,1.2946945291709633,1.3011996761649072,1,1,1,0.20156393560181435,0.3185353792648794
F1,F1,vocal_tract_filter,13839.100364896405,18272.520080094626,1.3203546183134722,15.284736147672499,0.0,1,1.3127531353038717,1.0601709008683287,1,1,1,0.20048564962205723,0.30548198045197683
B2,B2,vocal_tract_filter,5822.355038247955,7605.7933994852865,1.3063087615787163,15.514246517338734,0.0,1,1.1870630716422212,1.323887994001607,1,1,1,0.20207311297926325,0.31433588703324084
VFI,VFP,glottal_source,0.00273212664647577,0.00334076258729284,1.2227700321294266,12.779346882515222,0.0,1,1.1462756948614348,1.1219163845995832,1,10,1,0.20459762314858712,0.2312009190008541
