step,feature,I_mm,I_corrected,I_null_mean,occupied_cells,censored
1,F0,0.6145660200093488,0.5379825050414914,0.0765835149678574,2367,False
2,RMS,1.1602865141896004,0.913284970348107,0.24700154384149348,3458,True
3,AlphaRatio,1.684500765045227,1.0804560298660841,0.6040447351791428,4807,True
4,dCPP,2.2375023152184177,1.0814696717118943,1.1560326435065233,6105,True
5,VTLE,2.810290133252961,0.9490838726318724,1.8612062606210884,7521,True
6,SpectralFlux,3.4027257876184756,0.7502039503409303,2.652521837277545,8902,True
7,B5,4.043891812965322,0.5107900413281188,3.5331017716372033,10342,True
8,B3,4.710783182204485,0.3257253063230747,4.385057875881411,11469,True
9,SpeechRate,5.417995733607139,0.11326308871136259,5.304732644895776,12709,True
10,SemitoneSDF0,6.164815287997566,0.0,6.187578201711103,13586,True
11,F2,6.909390843477286,0.0,6.995529406527405,14137,True
12,shimmer,7.621407844525498,0.0,7.725226448258128,14495,True
13,B4,8.280316752560397,0.0,8.37276617303627,14769,True
14,B1,8.819038906406963,0.0,8.890732271456564,14990,True
15,jitter,9.246578351068024,0.0,9.298505357190892,15190,True
16,AMD,9.58309838746777,0.0,9.614990028741538,15348,True
17,F5,9.852045042274476,0.0,9.865638825886448,15470,True
18,SpectralKurtosis,10.062588780035622,0.004102100160578104,10.058486679875044,15554,True
19,F3,10.219297700636226,0.01862809609472471,10.2006696045415,15622,True
20,LHR,10.32365633579252,0.029144988683706075,10.294511347108815,15666,True
21,B2,10.407717855782998,0.03529827414415543,10.372419581638843,15725,True
22,F1,10.466291854922344,0.03974568714997595,10.426546167772369,15765,True
23,F4,10.510212359076796,0.04346863899487907,10.466743720081917,15791,True
24,HNR,10.543864678292039,0.04538704659297288,10.498477631699066,15820,True
25,SpectralRolloff,10.56659982196294,0.046933026892890695,10.51966679507005,15839,True
26,CPP,10.581568274895403,0.0479933841472846,10.533574890748119,15850,True
27,SpectralEntropy,10.592654463511446,0.04853184568574953,10.544122617825696,15861,True
28,SpectralSkewness,10.599669147503715,0.04841427220232397,10.55125487530139,15872,True
