step,feature,cum_I_lower_bits
1,F0,0.8327230818122846
2,AlphaRatio,1.4537127588574794
3,RMS,2.0392789123642423
4,SpectralRolloff,2.5441898680495694
5,dCPP,3.0438199178804
6,SpectralFlux,3.415180754330219
7,B4,3.7081451647392187
8,F4,3.9636478971220637
9,HNR,4.195335479522997
10,B1,4.403952887910692
11,LHR,4.596297735237081
12,B3,4.762610342650149
13,AMD,4.90868832051309
14,F3,5.043718296426956
15,F5,5.17079268809553
16,B2,5.279277485793256
17,B5,5.3606587400577235
18,F2,5.435904081176114
19,SpectralEntropy,5.502336116367532
20,SemitoneSDF0,5.543819439346064
21,shimmer,5.579310844790989
22,jitter,5.632836262837638
23,F1,5.660676756601348
24,SpeechRate,5.6762059142935755
25,CPP,5.658797595440521
26,VTLE,5.623952343665343
27,SpectralSkewness,5.534776501256153
28,SpectralKurtosis,5.528469291952778
