speaker_id,sex,accent,age,n_total,n_kept
0003db1a5ec04d0a584333c7573c8f18eacda278e65ddbfb92a8b3190af179488c6148971575e64d92995121a3f54df50e3865e87126f86a9095480291c81779,,,,12,12
00309ae51fe07824676d5a3b39837b0a8927c064b7a054f3083f6f9cf7741987f8c92cb60c4c93e86a4e1be11dad46b92285584802bbe6a0fd618ca0f44b2959,male_masculine,,sixties,283,12
005805ffffabbba8fa7dc8f6093bc07716b1b7cd2cf36d081c40825cfb1908cdb57eef584bbc52534d4ecf7c218be8f68e6493744e6fe27ddd638731b125f3a3,male_masculine,England English,fourties,14,12
005ce52c025b621f7942751c3dd418f0e7d1e9f55b54278d16c3b853e2a8af9771892aad1021e772b06805b5e487d89cc7a2ec86ae94d86dc936e12679eb9a87,female_feminine,United States English,teens,20,12
0061fc0c7be3c9aac7d84b1d4f0820893527bd43e09a3f7f9f739aa051e80780a3140a2dad890542f8a79346e295c993c3777699e89452c31798dc805001650c,male_masculine,United States English,twenties,12,12
00629ef5283de6396fb220d873d360b001eee93946c70473d949026bc9473a79275502f92d1000fedafed7fd5770c8cec6e425b53d3602ea2b49cb5dc5ff4fb0,female_feminine,,twenties,22,12
0071b964c1d89f7a99cc04445ee7162c008f96ba2d853f6f0a1718c22e4a32da7024ee14da6ffa434adbe96db198bd2f4dc9c951625375871914654b02f06730,,,,14,12
008f1e5e50d2af1343f74a4f7a841bb49fe5083abd8cb36ed80f1da59223569b2b7b2945f3b885eb6a2d91d0704af7b2e891f0a6f8ffd6bec00832870bf6ca97,,Australian English,teens,73,12
00a53049a1ac577bc07d77e46e34a793fc5b783244206483987c696657a27de46a17a7106cd967d67e423fb08e4da7ac47567dffb7c545821a363ae4a10fb0d5,,United States English,thirties,15,12
00c32b9cc65b255055eab5edc82fff01304d6bc592750e66f67f22e232e3b4abe1fb2d0679f3cbe2ca512f2dd57e608c3596d3a758d8032e7c2bf06deb5af6a9,male_masculine,United States English,fifties,17,12
00dd747cffb223ea3095abc625f16e689d74e3c4c4871fc9081ab53fc1cff07032f299376a0f1fb452717f42691c51469a4fad2d75075fab3f7220b19a5fe8fa,male_masculine,"United States English,Canadian English",teens,14,12
01002b878b3655e6e518c5a93129af8f77daff202b4c61136932bdd2db191dfeb7ed78ddf8f485ff6e360db5f68c50431a31d9df10b7b8a2ef38d6a929aa51ff,,,,17,12
0108d3d0948f8f59af7116ea3a09663d945346a5d283978273f4ab5efdcdd71624c770fed2671cf58f8497b9c9bd9609babc766e268460609e5a34314ce67dcb,male_masculine,United States English,twenties,14,12
012c74d60833feafdc9059833cb98d14e9f1d58bbd65f1cd799d191a8eac3b528298af98edeb895f6278967dcf0c16cc8259efc0ea2ecd0540a8a0e66cddf58f,male_masculine,United States English,thirties,13,12
01533ad263c57607d05ab6a82304c2e01ee480c839679dee6b832d163492063495304ee733daadc98f8f16bcde97fc6a706fbf742ccd6ea7413c6d7944d24abf,,,,15,12
01ed923c4eca6b9418c77331030d9af5022c76054a78d2c3be059b0109f1a087fad3ebde5c7d4cb876a73c33f91e295ee5a90dca91b93affc46e981f4a2939ad,,,,12,12
0212a6646cd3447d5018448f4a57100f8d786debf093972b9e67d1e91109f2523cabd93aea07a32629504e8a909267f9bc73c16917a0eeec176193d1be673cb4,male_masculine,Australian English,twenties,12,12
0217f2a628372d3a3485809bf54a5e548de8dc94e26d270bb5ce0d75f2126318aa8e7e56a45fe67776a856a53bf1a4d2f5ca029207c108d43a7d6157eb21b185,female_feminine,Canadian English,twenties,21,12
