feature,b*_pooled,Ic_pooled,NMI_pooled,p_pooled,b*_sex:male,Ic_sex:male,b*_sex:female,Ic_sex:female,b*_accent:US,Ic_accent:US
F0,3,0.887137106544834,0.08335440404203233,0.0,2,0.4883762801514356,2,0.6066700266540412,3,0.8584141345670971
RMS,3,0.7322136268600195,0.06879796826003633,0.0,3,0.6830782120533767,3,0.6818115167845519,3,0.6571827039402299
CPP,2,0.6787299744533274,0.06377270447672537,0.0,2,0.5451185057997519,2,0.4274731275491134,2,0.6569196098573556
dCPP,2,0.5917914535917161,0.05560405890745206,0.0,2,0.5217927608857121,2,0.4798558724043462,2,0.5960692823467417
HNR,2,0.5723116266299662,0.05377375629102495,0.0,2,0.4549611443271413,2,0.43636875651399887,2,0.5955696117645805
AlphaRatio,2,0.5633659499163441,0.05293323057553459,0.0,2,0.5900799012533403,2,0.48601135486799074,2,0.5620276572073157
LHR,2,0.5375684091792945,0.050509322683481885,0.0,2,0.5454021019599502,2,0.5241504431518054,2,0.5473357800093559
SpectralRolloff,2,0.5124424268311752,0.04814851366180192,0.0,2,0.49151098098013385,2,0.5443332358465225,2,0.4871427563777687
SpectralEntropy,2,0.49716458052878587,0.04671302441872281,0.0,2,0.49085794643940495,2,0.48208501155218686,2,0.47779007264532447
SpectralKurtosis,2,0.4912995118463432,0.046161949166561786,0.0,2,0.49155141802261965,2,0.4800089504338892,2,0.46668712714844013
VTLE,2,0.47935138747847056,0.045039316848787384,0.0,2,0.43499804492592453,2,0.4195847296942766,2,0.48808640256155805
F4,2,0.4789832890271212,0.045004730732600084,0.0,2,0.39807385403471035,2,0.4180459725208893,2,0.50442934891916
SpectralSkewness,2,0.46850292499741897,0.04402000752420926,0.0,2,0.47308800853894895,2,0.42925270326976206,2,0.4455478227438035
F5,2,0.467913256201918,0.043964602907866926,0.0,2,0.48706174962685267,2,0.3282310868720063,2,0.48793681322118054
shimmer,2,0.45115588520378197,0.04239009918960737,0.0,2,0.3535454471237154,2,0.3810332762257056,2,0.4661566718411359
SpectralFlux,2,0.4504555305808604,0.042324294657499505,0.0,2,0.4351529643933958,2,0.42292410749748316,2,0.4311255178017267
B1,2,0.42596992347458035,0.04002365457278879,0.0,2,0.40887434807651324,2,0.3955313893255676,2,0.3893185328345629
F3,2,0.40651376947716755,0.03819557624144645,0.0,2,0.36023612355047213,2,0.4069224493242034,2,0.4043204123426898
B4,2,0.3973570390379373,0.03733522015544274,0.0,2,0.3808674571676653,2,0.3735686369694908,2,0.3570608535586672
F1,2,0.3885244872907233,0.03650532353447186,0.0,2,0.38994225425720636,2,0.350851489915836,2,0.3771321187076756
B2,2,0.36381743117575704,0.034183876350149876,0.0,2,0.3249146027238009,2,0.34413793241177765,2,0.32625018497632563
B5,2,0.35160794898185,0.033036687145204253,0.0,2,0.3543566366987438,2,0.2884881109513512,2,0.3176501551073506
B3,2,0.3484167695130469,0.032736847514045944,0.0,2,0.3529686019757855,2,0.31192176781141534,2,0.33663364431149156
F2,2,0.3427688700942729,0.03220617724147128,0.0,2,0.3422293097413588,2,0.33312574299121983,2,0.35059787702073714
jitter,2,0.32337292031903486,0.030383755631083538,0.0,2,0.2422198165343618,2,0.24007350420375537,2,0.30289548106405106
SemitoneSDF0,2,0.23600292528917546,0.022174569234593645,0.0,2,0.22989637336660393,2,0.16109588152138443,2,0.24762131995381303
AMD,2,0.19667985282740003,0.01847981760491723,0.0,2,0.19806527022623346,2,0.14490689351528707,2,0.17841790638085406
SpeechRate,2,0.13138499644995338,0.012344786390238689,0.0,2,0.11428731623533131,2,0.126644697871505,1,0.11928112140931131
