feature,b,q_eff,I_raw,I_mm,I_null_mean,I_null_p95,perm_p,I_corrected,NMI_corrected,I_corrected_mmnull,I_null_mm_mean
AMD,1,2,0.24783412608846866,0.2096055733707214,0.06286230682990251,0.06918410549175266,0.0,0.14674326654081887,0.016320181283312373,0.1883055618911802,0.02130001147954118
AMD,2,4,0.4788191518566993,0.3776403699313544,0.19922246355050036,0.21296196791415908,0.0,0.17841790638085406,0.019842904175195176,0.29791733336186266,0.07972303656949174
AMD,3,8,0.7732431110216567,0.5834919649836756,0.4996410220828224,0.515108753364885,0.0,0.08385094290085321,0.009325556266923772,0.3078579828484615,0.2756339821352141
AMD,4,16,1.2443188210443274,0.9669776291648269,1.0212089170276557,1.0402837678718357,0.0,0.0,0.0,0.262469350644046,0.7045082785207809
AMD,5,32,1.885326704293794,1.5371767370377363,1.7357367456075088,1.7473198993807302,0.0,0.0,0.0,0.18005451336866862,1.3571222236690677
AMD,6,64,2.670925630889265,2.2781620421531805,2.5802678636590586,2.591619912056322,0.0,0.0,0.0,0.11054234483335001,2.1676196973198305
AMD,7,128,3.547337675775319,3.1313258879560646,3.4975977403602703,3.5047144393622163,0.0,0.0,0.0,0.06121013842749212,3.0701157495285725
AMD,8,256,4.482669160514851,4.0617457813399955,4.456103847122292,4.461953815882731,0.0,0.0,0.0,0.032839871349337635,4.028905909990658
AlphaRatio,1,2,0.4687743132649498,0.4406963826821073,0.06284604367147657,0.06999013224382046,0.0,0.37785033901063075,0.04202295734570691,0.4194163180545088,0.021280064627598537
AlphaRatio,2,4,0.8379407336800995,0.7626296662275784,0.20060200902026268,0.21231190957880708,0.0,0.5620276572073157,0.0625063995648979,0.6815148052099353,0.08111486101764306
AlphaRatio,3,8,1.1688075057863117,1.0251434586350356,0.4996223390234573,0.5189320742395401,0.0,0.5255211196115783,0.0584462929199176,0.7495183363764755,0.2756251222585601
AlphaRatio,4,16,1.583545157255875,1.3576119548983119,1.0218670879248741,1.0387025194720174,0.0,0.33574486697343775,0.03734016028888056,0.652400482559553,0.7052114723387589
AlphaRatio,5,32,2.127871446029456,1.8232709221263779,1.7356290925255866,1.7493082228419994,0.0,0.08764182960079125,0.009747163061060915,0.46630874184702553,1.3569621802793523
AlphaRatio,6,64,2.8223274889603474,2.4596883272052708,2.579582688583955,2.5922745689583855,0.0,0.0,0.0,0.2929375803370986,2.166750746868172
AlphaRatio,7,128,3.6366719279025173,3.2393241872345406,3.4976780516425534,3.5055567956978155,0.0,0.0,0.0,0.16910520566402543,3.070218981570515
AlphaRatio,8,256,4.531693258490222,4.121739100009538,4.455750493211471,4.462174037313286,0.0,0.0,0.0,0.0932790455668977,4.0284600544426405
B1,1,2,0.38160129062314496,0.34828432926099673,0.06275218694548815,0.06914949072223066,0.0,0.2855321423155086,0.03175570801066648,0.32709975855650514,0.02118457070449158
