feature,b,q_eff,I_raw,I_mm,I_null_mean,I_null_p95,perm_p,I_corrected,NMI_corrected,I_corrected_mmnull,I_null_mm_mean
AMD,1,2,0.23497818614838373,0.1962700993633728,0.063213944611915,0.07078005563657763,0.0,0.13305615475145782,0.01583836022890741,0.1745773579072772,0.021692741456095625
AMD,2,4,0.44834014259983235,0.34392692760969545,0.19902003409440838,0.21221305506524518,0.0,0.14490689351528707,0.017249014774507434,0.2643681854285014,0.07955874218119409
AMD,3,8,0.7485600421434775,0.5557592531888425,0.4983604784886541,0.5201677488865855,0.0,0.05739877470018834,0.006832472140034689,0.2813170439309581,0.2744422092578844
AMD,4,16,1.2129708939976265,0.9291937736820444,1.0206160482374371,1.0409876429464378,0.0,0.0,0.0,0.2248246435905651,0.7043691300914793
AMD,5,32,1.8732284375044692,1.5234996406602868,1.7341585698579223,1.7522064103846133,0.0,0.0,0.0,0.16706111518106348,1.3564385254792233
AMD,6,64,2.652992910717135,2.25925523813331,2.5796434346796713,2.592172983885139,0.0,0.0,0.0,0.08977945631359807,2.169475781819712
AMD,7,128,3.54916959052791,3.139159728594972,3.496711755721039,3.506570818372028,0.0,0.0,0.0,0.06486722829799652,3.0742925002969756
AMD,8,256,4.483630935331913,4.073621073398977,4.454584669226998,4.461205566894102,0.0,0.0,0.0,0.03599153237710517,4.037629541021872
AlphaRatio,1,2,0.4271664769475567,0.39622466235189613,0.06311962354457308,0.07200776488109123,0.0,0.33310503880732306,0.039651210487403325,0.3746200782550556,0.02160458409684052
AlphaRatio,2,4,0.7654405851650665,0.6854356541985975,0.19942429933060676,0.2127954574959128,0.0,0.48601135486799074,0.057852437777999526,0.6053937513176944,0.08004190288090324
AlphaRatio,3,8,1.0865029453568376,0.9336429848045693,0.49975304273558885,0.5173943494835914,0.0,0.43388994206898046,0.05164815723876152,0.6577810909841684,0.2758618938204009
AlphaRatio,4,16,1.4887721792480626,1.2496203054808035,1.0225782856195567,1.042949088182068,0.0,0.22704201986124684,0.027025982408542273,0.5428198798218001,0.7068004256590034
AlphaRatio,5,32,2.0367116400404157,1.7170617386597442,1.7353252359410345,1.7535035878657346,0.0,0.0,0.0,0.35917424926703356,1.3578874893927106
