feature,b,q_eff,I_raw,I_mm,I_null_mean,I_null_p95,perm_p,I_corrected,NMI_corrected,I_corrected_mmnull,I_null_mm_mean
AMD,1,2,0.25802252876036746,0.21995394311715444,0.06285003695996577,0.06835152550930931,0.0,0.15710390615718867,0.015911763348925727,0.1987039416937924,0.021250001423362034
AMD,2,4,0.49827563002759767,0.3981956726715197,0.2001304024452862,0.2094753685424349,0.0,0.19806527022623346,0.020060403236107853,0.3176648171345494,0.08053085553697023
AMD,3,8,0.7920545267006016,0.6044656851938477,0.49990961578721316,0.5123156189000418,0.0,0.10455606940663453,0.010589624878121444,0.32886488248410617,0.2756008027097415
AMD,4,16,1.2497755077673105,0.9724567444410841,1.0216278047297436,1.0347958725001025,0.0,0.0,0.0,0.2680126639473045,0.7044440804937796
AMD,5,32,1.8835089459772725,1.533739933894827,1.736829635916481,1.7479383874788321,0.0,0.0,0.0,0.1764754188027966,1.3572645150920304
AMD,6,64,2.6689628192771515,2.273351589710698,2.5808546125488543,2.5875926465986105,0.0,0.0,0.0,0.10738237161813347,2.1659692180925645
AMD,7,128,3.546570672764119,3.125550772266605,3.498228753460539,3.5042904496119895,0.0,0.0,0.0,0.05941201525240736,3.0661387570141976
AMD,8,256,4.483950565903825,4.053691148704111,4.456848070604929,4.461186859989328,0.0,0.0,0.0,0.03344266942825058,4.02024847927586
AlphaRatio,1,2,0.482565834265273,0.45413655210464654,0.06255552072997396,0.06775790322183424,0.0,0.3915810313746726,0.03966002409213139,0.43318306584517824,0.020953486259468298
AlphaRatio,2,4,0.8637479217968078,0.7907202032467016,0.20064030199336125,0.20821567732819907,0.0,0.5900799012533403,0.05976434307308907,0.7096461325966242,0.08107407065007731
AlphaRatio,3,8,1.190192939766602,1.048890523277617,0.5000360533490533,0.5119767631739942,0.0,0.5488544699285636,0.055588957984058156,0.7731555093741942,0.27573501390342264
AlphaRatio,4,16,1.5882641681627057,1.3629176862863712,1.0220192436196847,1.033792406521671,0.0,0.34089844266668656,0.03452680126426914,0.6580186452253229,0.7048990410610483
AlphaRatio,5,32,2.1336315626945357,1.8301045548764812,1.7367973825089278,1.7470456032371424,0.0,0.09330717236755337,0.009450316556638945,0.4728727373995376,1.3572318174769435
AlphaRatio,6,64,2.8253645514643786,2.4616918435752524,2.580564949203764,2.5891146415319546,0.0,0.0,0.0,0.2960909135612537,2.1656009300139987
AlphaRatio,7,128,3.6451871559511098,3.245755741594321,3.498315243950285,3.5037238277541523,0.0,0.0,0.0,0.1795107268551237,3.0662450147391973
AlphaRatio,8,256,4.535188102472684,4.11630039813722,4.456595077215012,4.461386144751589,0.0,0.0,0.0,0.09636843392860328,4.019931964208617
B1,1,2,0.3979802565059387,0.36502005750096345,0.063134419157942,0.06729681282047224,0.0,0.30188563834302146,0.0305755149776315,0.3434885612285946,0.02153149627236882
B1,2,4,0.6949168228671176,0.6089626650846007,0.2000883170080875,0.2100810064429119,0.0,0.40887434807651324,0.04141152199952522,0.5284938843238484,0.0804687807607524
B1,3,8,0.991813101837959,0.8284335709211135,0.500456611893052,0.5118823328229873,0.0,0.32797695902806145,0.033218090393839834,0.5522146989001314,0.27621887202098205
B1,4,16,1.4190892602376497,1.1689115772241454,1.0218187689765361,1.034859799844961,0.0,0.14709280824760929,0.014897821527257896,0.4642689809554995,0.7046425962686459
B1,5,32,2.0085114006383886,1.682640753872219,1.7367621058310891,1.7481357783812612,0.0,0.0,0.0,0.3254673118648699,1.3571734420073491
B1,6,64,2.746036855307331,2.36641709695623,2.580503896194468,2.5882138022592196,0.0,0.0,0.0,0.20086589265941646,2.1655512042968135
B1,7,128,3.595664285586583,3.1854386281594316,3.498892869776293,3.5054805784320213,0.0,0.0,0.0,0.11847028752315403,3.0669683406362775
