feature,b_star,q_eff,I_corrected,NMI_corrected,perm_p
F0,3,8,0.887137106544834,0.08335440404203233,0.0
RMS,3,8,0.7322136268600195,0.06879796826003633,0.0
CPP,2,4,0.6787299744533274,0.06377270447672537,0.0
dCPP,2,4,0.5917914535917161,0.05560405890745206,0.0
HNR,2,4,0.5723116266299662,0.05377375629102495,0.0
AlphaRatio,2,4,0.5633659499163441,0.05293323057553459,0.0
LHR,2,4,0.5375684091792945,0.050509322683481885,0.0
SpectralRolloff,2,4,0.5124424268311752,0.04814851366180192,0.0
SpectralEntropy,2,4,0.49716458052878587,0.04671302441872281,0.0
SpectralKurtosis,2,4,0.4912995118463432,0.046161949166561786,0.0
VTLE,2,4,0.47935138747847056,0.045039316848787384,0.0
F4,2,4,0.4789832890271212,0.045004730732600084,0.0
SpectralSkewness,2,4,0.46850292499741897,0.04402000752420926,0.0
F5,2,4,0.467913256201918,0.043964602907866926,0.0
shimmer,2,4,0.45115588520378197,0.04239009918960737,0.0
SpectralFlux,2,4,0.4504555305808604,0.042324294657499505,0.0
B1,2,4,0.42596992347458035,0.04002365457278879,0.0
F3,2,4,0.40651376947716755,0.03819557624144645,0.0
B4,2,4,0.3973570390379373,0.03733522015544274,0.0
F1,2,4,0.3885244872907233,0.03650532353447186,0.0
B2,2,4,0.36381743117575704,0.034183876350149876,0.0
B5,2,4,0.35160794898185,0.033036687145204253,0.0
B3,2,4,0.3484167695130469,0.032736847514045944,0.0
F2,2,4,0.3427688700942729,0.03220617724147128,0.0
jitter,2,4,0.32337292031903486,0.030383755631083538,0.0
SemitoneSDF0,2,4,0.23600292528917546,0.022174569234593645,0.0
AMD,2,4,0.19667985282740003,0.01847981760491723,0.0
SpeechRate,2,4,0.13138499644995338,0.012344786390238689,0.0
