feature,b_star,q_eff,I_corrected,NMI_corrected,perm_p
RMS,3,8,0.6830782120533767,0.06918337758022257,0.0
AlphaRatio,2,4,0.5900799012533403,0.05976434307308907,0.0
LHR,2,4,0.5454021019599502,0.05523929600904001,0.0
CPP,2,4,0.5451185057997519,0.05521057288497443,0.0
dCPP,2,4,0.5217927608857121,0.05284809990713355,0.0
SpectralKurtosis,2,4,0.49155141802261965,0.04978520285535815,0.0
SpectralRolloff,2,4,0.49151098098013385,0.04978110731969451,0.0
SpectralEntropy,2,4,0.49085794643940495,0.04971496681864067,0.0
F0,2,4,0.4883762801514356,0.04946361923823317,0.0
F5,2,4,0.48706174962685267,0.04933048124609964,0.0
SpectralSkewness,2,4,0.47308800853894895,0.04791519586759723,0.0
HNR,2,4,0.4549611443271413,0.04607927478421049,0.0
SpectralFlux,2,4,0.4351529643933958,0.04407306705081814,0.0
VTLE,2,4,0.43499804492592453,0.04405737653130886,0.0
B1,2,4,0.40887434807651324,0.04141152199952522,0.0
F4,2,4,0.39807385403471035,0.04031762873201663,0.0
F1,2,4,0.38994225425720636,0.03949404582772931,0.0
B4,2,4,0.3808674571676653,0.038574934220257096,0.0
F3,2,4,0.36023612355047213,0.036485356016128574,0.0
B5,2,4,0.3543566366987438,0.035889871118991654,0.0
shimmer,2,4,0.3535454471237154,0.03580771239445903,0.0
B3,2,4,0.3529686019757855,0.03574928849076785,0.0
F2,2,4,0.3422293097413588,0.034661593851283964,0.0
B2,2,4,0.3249146027238009,0.032907929494627494,0.0
jitter,2,4,0.2422198165343618,0.024532454306124944,0.0
SemitoneSDF0,2,4,0.22989637336660393,0.023284314039433512,0.0
AMD,2,4,0.19806527022623346,0.020060403236107853,0.0
SpeechRate,2,4,0.11428731623533131,0.011575222884025144,0.0
