feature,b_star,q_eff,I_corrected,NMI_corrected,perm_p
RMS,3,8,0.6818115167845519,0.08115954073092711,0.0
F0,2,4,0.6066700266540412,0.07221506167960477,0.0
SpectralRolloff,2,4,0.5443332358465225,0.06479479201851486,0.0
LHR,2,4,0.5241504431518054,0.06239233012773346,0.0
AlphaRatio,2,4,0.48601135486799074,0.057852437777999526,0.0
SpectralEntropy,2,4,0.48208501155218686,0.057385064886198864,0.0
SpectralKurtosis,2,4,0.4800089504338892,0.05713794062569211,0.0
dCPP,2,4,0.4798558724043462,0.057119718958460235,0.0
HNR,2,4,0.43636875651399887,0.05194322330462038,0.0
SpectralSkewness,2,4,0.42925270326976206,0.051096162791705084,0.0
CPP,2,4,0.4274731275491134,0.05088433071696265,0.0
SpectralFlux,2,4,0.42292410749748316,0.05034283740234803,0.0
VTLE,2,4,0.4195847296942766,0.04994533404230882,0.0
F4,2,4,0.4180459725208893,0.04976216784107259,0.0
F3,2,4,0.4069224493242034,0.048438077514452144,0.0
B1,2,4,0.3955313893255676,0.04708214090269225,0.0
shimmer,2,4,0.3810332762257056,0.04535635573819545,0.0
B4,2,4,0.3735686369694908,0.04446780123472572,0.0
F1,2,4,0.350851489915836,0.04176366207572973,0.0
B2,2,4,0.34413793241177765,0.040964512706312114,0.0
F2,2,4,0.33312574299121983,0.03965367501317754,0.0
F5,2,4,0.3282310868720063,0.03907103885510173,0.0
B3,2,4,0.31192176781141534,0.037129656505278524,0.0
B5,2,4,0.2884881109513512,0.034340227489209375,0.0
jitter,2,4,0.24007350420375537,0.028577187189106967,0.0
SemitoneSDF0,2,4,0.16109588152138443,0.019176073498404778,0.0
AMD,2,4,0.14490689351528707,0.017249014774507434,0.0
SpeechRate,2,4,0.126644697871505,0.0150751714546152,0.0
