step,feature,occupied_cells,cumulative_I_corrected,I_raw,I_mm,null_mean,censored
1,F0,2,0.711111479211059,0.8291690879899498,0.810401158461007,0.09928967924994804,False
2,F5,4,1.1226133317718288,1.4776686031979835,1.4354049450984558,0.3127916133266271,False
3,RMS,8,1.3408761534833396,2.1120374863289317,2.0256477038407446,0.6847715503574051,False
4,CPP,16,1.3257932998799276,2.4192819330945134,2.3115454216001243,0.9857521217201969,False
5,F4,32,1.2679676137100058,2.826874173467184,2.6867594018694274,1.4187917881594216,False
6,dCPP,62,1.1853249282301368,3.05581161578438,2.8962125814695536,1.7108876532394168,False
7,GCT,120,1.079285160287267,3.3501241699858575,3.1677457402885736,2.0884605800013065,False
8,SHR,206,0.9630652581837054,3.7815555757157213,3.5725295514200908,2.6094642932363854,False
9,HNR,326,0.8581480502414998,4.132850563327834,3.9099276751825283,3.0517796249410285,False
10,VTLE,479,0.7616233910336367,4.479203214680757,4.2484006614660474,3.4867772704324107,False
11,F3,656,0.6713026667048978,4.807402547243219,4.573448128000749,3.902145461295851,False
12,NAQ,905,0.5916956048933848,5.184386839075541,4.95716595180147,4.3654703469080856,False
13,MFDR,1106,0.5076852052359122,5.5687246454414545,5.338351892139622,4.83066668690371,False
14,CQ,1348,0.4238195119778778,5.958960521429374,5.73374536708206,5.309925855104182,True
15,SSPF,1670,0.35328043933566455,6.338146688794922,6.130410064237921,5.777129624902257,True
16,shimmer,1957,0.3050313484153717,6.616310338124956,6.428917576110779,6.123886227695407,True
17,spectral_entropy,2243,0.26642960065921173,6.922014168370223,6.755395068811747,6.488965468152535,True
18,F2,2490,0.22425159689424845,7.146741526962781,6.9963115574559875,6.772059960561739,True
19,B2,2782,0.19084767908762412,7.426934890228257,7.299714116016797,7.108866436929173,True
20,B3,3059,0.16059703463607544,7.698720513309437,7.593133001379431,7.432535966743355,True
21,B4,3321,0.13633800896139459,7.953294836867029,7.870200187044229,7.733862178082834,True
22,alpha_ratio,3565,0.10935698410464312,8.203030039921103,8.139706186090624,8.030349201985981,True
23,jitter,3753,0.0896790764155817,8.363787866731327,8.316223343039654,8.226544266624073,True
24,B5,3974,0.0750935800759347,8.556404071748009,8.529040143961534,8.4539465638856,True
25,IHI,4116,0.06956541171997443,8.667643362766501,8.654319565467327,8.584754153747353,True
26,F1,4233,0.06644581097681446,8.743856026306652,8.742280093292772,8.675834282315957,True
27,speech_rate,4408,0.06312449788696561,8.87780019674694,8.894132593436249,8.831008095549283,True
28,spectral_kurtosis,4526,0.06282594593331403,8.972443739833237,9.001383600633591,8.938557654700277,True
29,spectral_rolloff,4596,0.06479401760562276,9.023144945148909,9.059964471018667,8.995170453413044,True
30,B1,4707,0.06752294116219026,9.092815012246163,9.142242002226967,9.074719061064776,True
31,semitone_SD_F0,4809,0.07315703452110078,9.151868466560174,9.213616387376772,9.140459352855672,True
32,SQ,4882,0.07888419267570335,9.18987640800648,9.260793393631111,9.181909200955408,True
33,VOT,4936,0.08344520180804693,9.214500256770563,9.292294041001218,9.208848839193172,True
34,LHR,4968,0.08627423668207435,9.228372842953675,9.310321359675472,9.224047122993397,True
35,AMD,5002,0.08846869111959244,9.241136430343245,9.32723967955618,9.238770988436588,True
36,BGD,5017,0.08846766286236907,9.245655772448938,9.333334954675754,9.244867291813385,True
37,GNE,5023,0.08878677658673872,9.24779179777211,9.336187313187054,9.247400536600315,True
38,spectral_skewness,5024,0.08892805712704899,9.248189017235863,9.336727799288433,9.247799742161384,True
39,SPI,5027,0.0888173709385427,9.24898345616337,9.33780877149119,9.248991400552647,True
40,spectral_flux,5028,0.08896659586813094,9.249380675627126,9
