method,variant,q,d,P_E,S,P_M,P_B,log10_m,q_eff
a_independence,point,2,40.0,0.009053713087691453,1100.0,9.094947017729282e-13,1.0,12.041199826559247,
b_deff,point,2,5.434798726996542,1.0,1.0,0.02311865493254503,1.0,1.6360374372223794,
b_deff,ci_lo,2,5.16572526444996,1.0,1.0,0.027858757695406328,1.0,1.5550382539586893,
b_deff,ci_hi,2,5.656273809161622,1.0,1.0,0.01982859396711276,1.0,1.7027080802462133,
c_deff_qcap,point,2,5.434798726996542,1.0,1.0,0.18356215737825254,1.0,0.7362168467500705,1.3660402567543954
c_deff_qcap,ci_lo,2,5.16572526444996,1.0,1.0,0.19963320800545953,1.0,0.6997672142814101,1.3660402567543954
c_deff_qcap,ci_hi,2,5.656273809161622,1.0,1.0,0.17130946701376035,1.0,0.7662186361107958,1.3660402567543954
a_independence,point,3,40.0,8.22526333576464e-10,12157665466.0,8.225263339969914e-20,0.9836353485654248,19.084850188786497,
b_deff,point,3,5.434798726996542,1.0,1.0,0.0025523604841866205,1.0,2.593057987773414,
b_deff,ci_lo,3,5.16572526444996,1.0,1.0,0.0034302255724361196,1.0,2.464677319711425,
b_deff,ci_hi,3,5.656273809161622,1.0,1.0,0.002001112676608871,1.0,2.6987284568651577,
c_deff_qcap,point,3,5.434798726996542,1.0,1.0,0.13189552796844578,1.0,0.8797699293327259,1.4517010364894252
c_deff_qcap,ci_lo,3,5.16572526444996,1.0,1.0,0.145809871040226,1.0,0.8362130741443206,1.4517010364894252
c_deff_qcap,ci_hi,3,5.656273809161622,1.0,1.0,0.12144462757438926,1.0,0.9156216926036377,1.4517010364894252
a_independence,point,5,40.0,1.099511627666051e-18,9.094947022276739e+18,1.0995116277760022e-28,5.497558123218682e-09,27.95880017344075,
b_deff,point,5,5.434798726996542,1.0,1.0,0.00015894201342897822,1.0,3.798761289774162,
b_deff,ci_lo,5,5.16572526444996,1.0,1.0,0.0002450828881089443,1.0,3.61068701049127,
b_deff,ci_hi,5,5.656273809161622,1.0,1.0,0.00011128439551063808,1.0,3.9535657289154074,
c_deff_qcap,point,5,5.434798726996542,1.0,1.0,0.12305166319873478,1.0,0.9099125118827448,1.4703590726370819
c_deff_qcap,ci_lo,5,5.16572526444996,1.0,1.0,0.1365012673408534,1.0,0.8648633164138168,1.4703590726370819
c_deff_qcap,ci_hi,5,5.656273809161622,1.0,1.0,0.11298151020866963,1.0,0.946992624404894,1.4703590726370819
a_independence,point,10,40.0,9.999999998999842e-31,1.0000000005000159e+31,9.999999999999842e-41,4.999999999499921e-21,40.0,
b_deff,point,10,5.434798726996542,1.0,1.0,3.6745255627484776e-06,1.0,5.434798726996542,
b_deff,ci_lo,10,5.16572526444996,1.0,1.0,6.827704795117456e-06,1.0,5.16572526444996,
b_deff,ci_hi,10,5.656273809161622,1.0,1.0,2.206613093456022e-06,1.0,5.656273809161622,
c_deff_qcap,point,10,5.434798726996542,1.0,1.0,0.12305166319873478,1.0,0.9099125118827448,1.4703590726370819
c_deff_qcap,ci_lo,10,5.16572526444996,1.0,1.0,0.1365012673408534,1.0,0.8648633164138168,1.4703590726370819
c_deff_qcap,ci_hi,10,5.656273809161622,1.0,1.0,0.11298151020866963,1.0,0.946992624404894,1.4703590726370819
