feature,category,n_ok,n_total,coverage,status,note
F0,glottal_source,6300,6300,1.0,MEASURED,
jitter,glottal_source,6300,6300,1.0,MEASURED,
shimmer,glottal_source,6300,6300,1.0,MEASURED,
HNR,glottal_source,6300,6300,1.0,MEASURED,
CPP,glottal_source,6300,6300,1.0,MEASURED,
dCPP,glottal_source,6300,6300,1.0,MEASURED,
NAQ,glottal_source,6290,6300,0.9984,MEASURED,
CQ,glottal_source,6290,6300,0.9984,MEASURED,
GCT,glottal_source,6290,6300,0.9984,MEASURED,
MFDR,glottal_source,6290,6300,0.9984,MEASURED,
SQ,glottal_source,5824,6300,0.9244,MEASURED,
SHR,glottal_source,6300,6300,1.0,MEASURED,
IHI,glottal_source,6300,6300,1.0,MEASURED,
VFI,glottal_source,0,6300,0.0,NOT MEASURED,no reliable single-session vocal-fry detector implemented; would be fabrication to guess
SPI,glottal_source,6300,6300,1.0,MEASURED,
GNE,glottal_source,6300,6300,1.0,MEASURED,
F1,vocal_tract_filter,6300,6300,1.0,MEASURED,
F2,vocal_tract_filter,6300,6300,1.0,MEASURED,
F3,vocal_tract_filter,6300,6300,1.0,MEASURED,
F4,vocal_tract_filter,6300,6300,1.0,MEASURED,
F5,vocal_tract_filter,6300,6300,1.0,MEASURED,
B1,vocal_tract_filter,6300,6300,1.0,MEASURED,
B2,vocal_tract_filter,6300,6300,1.0,MEASURED,
B3,vocal_tract_filter,6300,6300,1.0,MEASURED,
B4,vocal_tract_filter,6300,6300,1.0,MEASURED,
B5,vocal_tract_filter,6300,6300,1.0,MEASURED,
VTLE,vocal_tract_filter,6300,6300,1.0,MEASURED,
Nasality,vocal_tract_filter,0,6300,0.0,NOT MEASURED,requires nasalance (oral+nasal channels); not estimable from single TIMIT channel
spectral_skewness,spectral_envelope,6300,6300,1.0,MEASURED,
spectral_kurtosis,spectral_envelope,6300,6300,1.0,MEASURED,
spectral_entropy,spectral_envelope,6300,6300,1.0,MEASURED,
spectral_rolloff,spectral_envelope,6300,6300,1.0,MEASURED,
spectral_flux,spectral_envelope,6300,6300,1.0,MEASURED,
alpha_ratio,spectral_envelope,6300,6300,1.0,MEASURED,
LHR,spectral_envelope,6300,6300,1.0,MEASURED,
RMS,spectral_envelope,6300,6300,1.0,MEASURED,
AMD,spectral_envelope,6300,6300,1.0,MEASURED,
VOT,articulatory_prosodic,5679,6300,0.9014,MEASURED,
speech_rate,articulatory_prosodic,6300,6300,1.0,MEASURED,
BGD,articulatory_prosodic,6300,6300,1.0,MEASURED,
semitone_SD_F0,articulatory_prosodic,6300,6300,1.0,MEASURED,
SSPF,articulatory_prosodic,5955,6300,0.9452,MEASURED,
