q,subset_size,mean_occupied,q_pow_subset,n_speakers,saturated,d_eff_occ
2,1,2.0,2.0,629,False,1.0
2,2,4.0,4.0,629,False,2.0
2,3,8.0,8.0,629,False,3.0
2,4,16.0,16.0,629,False,4.0
2,5,31.55,32.0,629,False,4.979568100095187
2,6,60.85,64.0,629,False,5.9271853578263665
2,7,105.8,128.0,629,False,6.7251958172266635
2,8,155.1,256.0,629,False,7.277054876148728
2,9,221.05,512.0,629,False,7.788228924066704
2,10,282.05,1024.0,629,True,8.139807126717502
2,11,332.0,2048.0,629,True,8.375039431346924
2,12,394.15,4096.0,629,True,8.622600964311406
2,13,420.6,8192.0,629,True,8.716305039844418
2,14,450.35,16384.0,629,True,8.814902851215363
2,15,482.95,32768.0,629,True,8.915730023792326
2,16,524.35,65536.0,629,True,9.034386312040759
2,17,525.2,131072.0,629,True,9.036723106005525
2,18,539.0,262144.0,629,True,9.074141462752506
2,19,551.35,524288.0,629,True,9.10682463009568
2,20,571.6,1048576.0,629,True,9.158862106208455
2,21,577.8,2097152.0,629,True,9.174426393677253
2,22,586.25,4194304.0,629,True,9.19537220740274
2,23,585.95,8388608.0,629,True,9.194633752323886
2,24,591.65,16777216.0,629,True,9.20860016868893
2,25,604.85,33554432.0,629,True,9.240433594827177
2,26,605.3,67108864.0,629,True,9.241506540822835
2,27,612.55,134217728.0,629,True,9.25868380010696
2,28,611.15,268435456.0,629,True,9.255382706802274
2,29,612.35,536870912.0,629,True,9.258212677548805
2,30,619.5,1073741824.0,629,True,9.274960472140602
2,31,618.55,2147483648.0,629,True,9.272746408802544
2,32,621.15,4294967296.0,629,True,9.278797893203674
2,33,620.75,8589934592.0,629,True,9.277868546176842
2,34,622.05,17179869184.0,629,True,9.280886737739756
2,35,622.55,34359738368.0,629,True,9.282045901421663
2,36,622.65,68719476736.0,629,True,9.282277622437402
2,37,624.0,137438953472.0,629,True,9.285402218862249
2,38,624.45,274877906944.0,629,True,9.286442248974012
2,39,624.6,549755813888.0,629,True,9.286788759133211
2,40,625.0,1099511627776.0,629,True,9.287712379549449
3,1,3.0,3.0,629,False,1.0
3,2,9.0,9.0,629,False,2.0
3,3,26.3,27.0,629,False,2.9760899026057173
3,4,71.1,81.0,629,False,3.881339559726492
3,5,168.2,243.0,629,False,4.665115983503398
3,6,267.5,729.0,629,True,5.087435871586661
3,7,392.4,2187.0,629,True,5.436205101011237
3,8,449.2,6561.0,629,True,5.559257151827974
3,9,515.85,19683.0,629,True,5.685186748746848
3,10,541.7,59049.0,629,True,5.729694094624754
3,11,585.95,177147.0,629,True,5.801168007533513
3,12,595.35,531441.0,629,True,5.815654470462002
3,13,595.45,1594323.0,629,True,5.815807349069454
3,14,612.45,4782969.0,629,True,5.841430477911219
3,15,613.25,14348907.0,629,True,5.842618682993548
3,16,620.8,43046721.0,629,True,5.8537566302535815
3,17,622.2,129140163.0,629,True,5.855807049330232
3,18,624.05,387420489.0,629,True,5.858509466672135
3,19,625.55,1162261467.0,629,True,5.860694741153143
3,20,626.85,3486784401.0,629,True,5.862584411257909
3,21,627.0,10460353203.0,629,True,5.862802197890513
3,22,628.0,31381059609.0,629,True,5.864252778638349
3,23,627.7,94143178827.0,629,True,5.86381784708912
3,24,628.25,282429536481.0,629,True,5.864615062912435
3,25,628.5,847288609443.0,629,True,5.86497720305114
3,26,628.85,2541865828329.0,629,True,5.865483957316139
3,27,628.65,7625597484987.0,629,True,5.865194417997077
3,28,629.0,22876792454961.0,629,True,5.865701051380839
3,29,628.9,68630377364883.0,629,True,5.86555632775757
3,30,628.95,205891132094649.0,629,True,5.865628692445498
3,31,629.0,617673396283947.0,629,True,5.865701051380839
3,32,629.0,1853020188851841.0,629,True,5.865701051380839
3,33,629.0,5559060566555523.0,629,True,5.865701051380839
3,34,629.0,1.6677181699666568e+16,629,True,5.865701051380839
3,35,629.0,5.0031545098999704e+16,629,True,5.865701051380839
3,36,629.0,1.5009463529699914e+17,629,True,5.865701051380839
3,37,629.0,4.502839058909974e+17,629,True,5.865701051380839
3,38,629.0,1.350851717672992e+18,629,True,5.865701051380839
3,39,629.0,4.052555153018976e+18,629,True,5.865701051380839
3,40,629.0,1.2157665459056929e+19,629,True,5.865701051380839
