feature,F_ratio,variance_q_max,I_corrected_bits,b_star,F_tier,bits_tier,tertile_disagree,rank_F,rank_bits,rank_diff,disagree
F0,35.2754970075866,5,1.44434751637271,3,high,high,False,1,1,0,False
CPP,11.237451108810482,3,1.080933823507905,2,high,high,False,3,2,1,False
F5,10.586059451923491,3,1.0793889874363558,3,high,high,False,4,3,1,False
F4,12.998856760814837,3,1.040864704511587,2,high,high,False,2,4,-2,False
dCPP,8.94154672133473,3,0.996244498770666,2,high,high,False,5,5,0,False
GCT,5.891677906180338,3,0.9379292875281501,2,high,high,False,7,6,1,False
VTLE,6.1261158920838845,2,0.7647273678789287,2,high,high,False,6,7,-1,False
RMS,3.666202466678541,2,0.7451652945517808,2,high,high,False,10,8,2,False
SHR,3.8448237370562026,2,0.7438200151678193,2,high,high,False,9,9,0,False
HNR,3.859472705862055,2,0.7171014523412739,2,high,high,False,8,10,-2,False
NAQ,3.395864903491772,2,0.6896447289561967,2,high,high,False,12,11,1,False
F3,3.504219090072318,2,0.6332113936862835,2,high,high,False,11,12,-1,False
MFDR,1.99197644239199,2,0.5024832079422508,2,mid,high,False,15,13,2,False
CQ,2.0541841774374032,2,0.4996835094896523,2,mid,mid,False,14,14,0,False
spectral_entropy,2.1818233687487147,2,0.4895262900739079,2,high,mid,False,13,15,-2,False
B4,1.7308315344340697,2,0.4550308551822472,2,mid,mid,False,16,16,0,False
SSPF,1.623172252741912,2,0.43369062934736424,2,mid,mid,False,17,17,0,False
shimmer,1.528635760864042,2,0.3977519093601971,2,mid,mid,False,18,18,0,False
SQ,0.8079877122710996,0,0.37110808442231985,2,low,mid,False,32,19,13,True
alpha_ratio,1.437529110108046,0,0.3662013293953273,2,mid,mid,False,20,20,0,False
B3,1.382694221382759,0,0.36060844230132905,2,mid,mid,False,22,21,1,False
B5,1.2843608728445066,0,0.35131590757275843,2,mid,mid,False,24,22,2,False
spectral_rolloff,1.371103160504343,0,0.3191735960607214,2,mid,mid,False,23,23,0,False
F2,1.4014921964271831,0,0.3082362154473594,2,mid,mid,False,21,24,-3,False
B2,1.4459987237338034,0,0.2934299251872563,2,mid,mid,False,19,25,-6,False
F1,1.1867100685560357,0,0.2618686781658338,2,mid,mid,False,25,26,-1,False
spectral_kurtosis,1.0478260482107755,0,0.24059030203397405,2,low,mid,False,29,27,2,False
IHI,1.0739751420541273,0,0.23780745854648153,2,low,low,False,28,28,0,False
spectral_skewness,1.0931946411829532,0,0.23765177539194068,2,mid,low,False,27,29,-2,False
B1,1.174669838901672,0,0.23191008394564763,2,mid,low,False,26,30,-4,False
LHR,0.9767394067764276,0,0.23001699308362425,2,low,low,False,30,31,-1,False
semitone_SD_F0,0.7225016826135631,0,0.22740188058550595,2,low,low,False,34,32,2,False
jitter,0.8482376450772546,0,0.17806598840451765,2,low,low,False,31,33,-2,False
SPI,0.7884136523677059,0,0.16557492447339384,1,low,low,False,33,34,-1,False
speech_rate,0.7223484301272047,0,0.13372759684689084,1,low,low,False,35,35,0,False
GNE,0.4382212136405622,0,0.07634806185485486,1,low,low,False,37,36,1,False
spectral_flux,0.4722166503044221,0,0.06714256432744485,1,low,low,False,36,37,-1,False
AMD,0.3159337739310295,0,0.030770055770464988,1,low,low,False,38,38,0,False
BGD,0.1586409934557504,0,0.0,1,low,low,False,40,39,1,False
VOT,0.1829730556267507,0,0.0,1,low,low,False,39,39,0,False
