step,feature,cumulative_Ilower,P_correct
1,F0,0.04623643711498282,0.019860973187686197
2,F5,0.27659397980391454,0.06812313803376366
3,RMS,0.7903596499790382,0.15054617676266138
4,F4,1.4388736471499968,0.24011916583912613
5,dCPP,1.939096677017825,0.30367428003972197
6,B5,2.4349649331674774,0.3634558093346574
7,B4,2.8848376954699715,0.41549155908639523
8,F3,3.248103250134882,0.45620655412115196
9,MFDR,3.6007667050395646,0.49473684210526314
10,alpha_ratio,3.9488231083906182,0.5318768619662363
11,SHR,4.2376251227578114,0.5620655412115194
12,speech_rate,4.442184661897034,0.5831181727904667
13,CQ,4.661182770377808,0.6053624627606753
14,spectral_rolloff,4.857248471351159,0.6250248262164846
15,spectral_skewness,5.0254721110744365,0.641708043694141
16,B3,5.197476823255844,0.6585898709036743
17,SQ,5.324090241751893,0.6709036742800397
18,B1,5.4951435764284335,0.6873882820258193
19,HNR,5.609494222198943,0.6983118172790467
20,SSPF,5.701562349576138,0.7070506454816285
21,semitone_SD_F0,5.7920519216565065,0.7155908639523336
22,spectral_entropy,5.863967410263481,0.722343594836147
23,spectral_flux,5.944731965107368,0.7298907646474677
24,AMD,5.978862377910234,0.7330685203574975
25,B2,6.036626572773262,0.7384309831181728
26,CPP,6.081702635212275,0.7426017874875869
27,LHR,6.124754268819293,0.7465739821251242
28,VTLE,6.1787381536443835,0.7515392254220457
29,IHI,6.213387646575288,0.7547169811320755
30,spectral_kurtosis,6.241598276564405,0.7572989076464747
31,jitter,6.2611593432493855,0.7590863952333664
32,F2,6.2698612340118425,0.7598808341608739
33,GNE,6.2611593432493855,0.7590863952333664
34,shimmer,6.289458751173203,0.7616683217477657
35,F1,6.287279997677159,0.7614697120158888
36,GCT,6.298176901886627,0.7624627606752731
37,NAQ,6.324361565165515,0.7648460774577954
38,VOT,6.302537861804684,0.7628599801390268
39,SPI,6.291637818162329,0.761866931479
