feature,b,q,q_eff,N,n_spk,I_raw,I_mm,I_null_mean,I_null_p95,I_corrected,NMI_corrected,perm_p,deficient
AMD,1,2,2,6300,630,0.17755544003787804,0.10736718130256578,0.0765971255321008,0.08309566280293712,0.030770055770464988,0.003308889930155719,0.0,False
AMD,2,4,4,6300,630,0.3690542951164968,0.18196193822661058,0.24660324111512233,0.26054206210108644,0.0,0.0,0.0,False
AMD,3,8,8,6300,630,0.7266490807128445,0.4005542016293709,0.6030499812355472,0.6182755611801688,0.0,0.0,0.0,False
AMD,4,16,16,6300,630,1.2643813012567389,0.8114208582601723,1.1865138881868411,1.2029843894233458,0.0,0.0,0.0,False
AMD,5,32,32,6300,630,1.9894627365223023,1.450856587923756,1.9443799790703935,1.957444210547495,0.0,0.0,0.0,False
AMD,6,64,64,6300,630,2.8381204281772163,2.25211144252089,2.814055648716398,2.824748450097887,0.0,0.0,0.0,False
AMD,7,128,128,6300,630,3.7590576093656694,3.153354691405144,3.7464400988392397,3.7539482167059433,0.0,0.0,0.0,False
AMD,8,256,256,6300,630,4.71655968833241,4.110398771946206,4.711065295117444,4.71612839577256,0.0,0.0,0.035,False
B1,1,2,2,6300,630,0.3474234321536187,0.2889141332731219,0.07641786644484373,0.08404428833148883,0.21249626682827816,0.022851006925332814,0.0,False
B1,2,4,4,6300,630,0.630051150774424,0.47765217462972476,0.24574209068407712,0.25719372538740026,0.23191008394564763,0.024938691928075265,0.0,False
B1,3,8,8,6300,630,0.9647326810956312,0.6858116398570983,0.6039868628910552,0.6191712912687997,0.08182477696604307,0.008799112441000494,0.0,False
B1,4,16,16,6300,630,1.466971040347408,1.0648484226012145,1.1852491557761249,1.20197464647332,0.0,0.0,0.0,False
B1,5,32,32,6300,630,2.126491964522236,1.6277316789577658,1.944632136084815,1.9564079766151803,0.0,0.0,0.0,False
B1,6,64,64,6300,630,2.9166957331787806,2.354960664083443,2.8132993871115275,2.8241019525755577,0.0,0.0,0.0,False
B1,7,128,128,6300,630,3.799778655950009,3.2071286931213363,3.7464860446627015,3.753540960555803,0.0,0.0,0.0,False
B1,8,256,256,6300,630,4.737949353015292,4.139116411439953,4.711442924909132,4.716954962141246,0.0,0.0,0.0,False
B2,1,2,2,6300,630,0.3783768959391516,0.32124159233569183,0.07592657340338484,0.08301594822554133,0.245315018932307,0.026380205545165437,0.0,False
B2,2,4,4,6300,630,0.6849772539556422,0.5400207522282273,0.24659082704097102,0.2604308025586471,0.2934299251872563,0.03155429200067992,0.0,False
B2,3,8,8,6300,630,1.020633009820477,0.7529329300110805,0.6045945850080954,0.6194856504788235,0.14833834500298515,0.015951718115099312,0.0,False
B2,4,16,16,6300,630,1.5053936098082996,1.1134614570334644,1.1861901040564604,1.2020525647561888,0.0,0.0,0.0,False
B2,5,32,32,6300,630,2.145682997383881,1.652647692140399,1.9433804201279088,1.9566375747326465,0.0,0.0,0.0,False
B2,6,64,64,6300,630,2.94069535468884,2.3868607584364656,2.8138415143460214,2.8239859247007892,0.0,0.0,0.0,False
B2,7,128,128,6300,630,3.8150808191236436,3.227239839764601,3.7457826700319994,3.7523526565885104,0.0,0.0,0.0,False
B2,8,256,256,6300,630,4.74386748198595,4.146981033719746,4.7111985663872575,4.716248219185602,0.0,0.0,0.0,False
B3,1,2,2,6300,630,0.41854733711950765,0.3642745236765419,0.07652814812407327,0.08304476391566373,0.2877463755524686,0.03094310558313236,0.0,False
B3,2,4,4,6300,630,0.7457044788832778,0.6080759519667276,0.24746750966539857,0.2613294055965093,0.36060844230132905,0.03877840366494649,0.0,False
B3,3,8,8,6300,630,1.0785364955855385,0.8217138783860192,0.60477694689773,0.620592602929446,0.2169369314882892,0.023328538415243624,0.0,False
B3,4,16,16,6300,630,1.5490307820682787,1.1696935859996171,1.1864663889017368,1.2024528799326948,0.0,0.0,0.0,False
B3,5,32,32,6300,630,2.160793094920244,1.6739407684234289,1.945200851663195,1.9578875571757501,0.0,0.0,0.0,False
B3,6,64,64,6300,630,2.9317402917583237,2.3767606994417516,2.8145910133095846,2.8257429361082314,0.0,0.0,0.0,False
B3,7,128,128,6300,630,3.8136731966727524,3.226977213377907,3.7460227865078677,3.7535508424010238,0.0,0.0,0.0,False
B3,8,256,256,6300,630,4.738662087141588,4.140516143204767,4.711813692299976,4.716559688332408,0.0,0.0,0.0,False
B4,1,2,2,6300,630,0.4701716923487851,0.41921936749199235,0.07660041714803499,0.08352674759498253,0.34261895034395734,0.036843884948750315,0.0,False
B4,2,4,4,6300,630,0.8289086671938009,0.7012416060357696,0.2462107508535224,0.26020168568158936,0.4550308551822472,0.04893221597823351,0.0,False
B4,3,8,8,6300,630,1.1605945752205642,0.9177409100042554,0.6030623815587294,0.6181252604952239,0.314678528445526,0.03383928263818958,0.0,False
B4,4,16,16,6300,630,1.6026864230160545,1.2354861852278873,1.1848770035046914,1.2042069372283646,0.05060918172319595,0.005442310960581445,0.0,False
B4,5,32,32,6300,630,2.2120979422250873,1.7382985708601244,1.9442134819079455,1.9552920204675113,0.0,0.0,0.0,False
B4,6,64,64,6300,630,2.9756138835033887,2.4332292478929904,2.813641879045978,2.824107633428612,0.0,0.0,0.0,False
B4,7,128,128,6300,630,3.8297260036484833,3.247266505791169,3.745908655952381,3.7527981988491437,0.0,0.0,0.0,False
B4,8,256,256,6300,630,4.759121428885969,4.167616462121494,4.711342201665028,4.7170747855542885,0.0,0.0,0.0,False
B5,1,2,2,6300,630,0.410536251992367,0.35569094051730243,0.07577206333565605,0.08240836179262141,0.2799188771816464,0.030101367409801363,0.0,False
B5,2,4,4,6300,630,0.7355730821288269,0.5973720571801777,0.2460561496074193,0.259287651617967,0.35131590757275843,0.03777912128410325,0.0,False
B5,3,8,8,6300,630,1.0852863541405462,0.8286927361538663,0.603331241554728,0.6199285723661666,0.22536149459913835,0.024234482565991873,0.0,False
B5,4,16,16,6300,630,1.5517516761314791,1.1711549843922002,1.185977543659152,1.2026801679827792,0.0,0.0,0.0,False
B5,5,32,32,6300,630,2.1834873951740743,1.7022455493918272,1.9441640062436003,1.9584007924920421,0.0,0.0,0.0,False
B5,6,64,64,6300,630,2.949257347761705,2.398514240882664,2.8141135558714847,2.824758427079406,0.0,0.0,0.0,False
B5,7,128,128,6300,630,3.819045969915921,3.233265983472434,3.745361893789535,3.7519794138295968,0.0,0.0,0.0,False
B5,8,256,256,6300,630,4.7528341843662165,4.159382724292605,4.711409109413063,4.716841129898856,0.0,0.0,0.0,False
BGD,1,2,2,6300,630,0.09720308324009785,0.025297330408489208,0.07581176350541746,0.08316970585612848,0.0,0.0,0.0,False
BGD,2,4,4,6300,630,0.28754972091316233,0.0932438888188313,0.24585674869389146,0.25872801040086707,0.0,0.0,0.0,False
BGD,3,8,8,6300,630,0.6308864807629604,0.2842961721303499,0.6030922693546633,0.6161792034662745,0.0,0.0,0.0,False
BGD,4,16,16,6300,630,1.1937026907232813,0.7201323185711581,1.1861792948555445,1.201370952211338,0.0,0.0,0.205,False
BGD,5,32,32,6300,630,1.9529526396228079,1.4034690284143845,1.9441692392417729,1.959240194460156,0.0,0.0,0.14,False
BGD,6,64,64,6300,630,2.8147482816186873,2.2212968215450766,2.8134506308772984,2.8233316925314202,0.0,0.0,0.435,False
BGD,7,128,128,6300,630,3.7482674551633757,3.1387860501909985,3.746311930639581,3.7542372607196204,0.0,0.0,0.35,False
BGD,8,256,256,6300,630,4.7092989993543934,4.100733591233374,4.710956655406033,4.716163302925478,0.0,0.0,0.72,False
CPP,1,2,2,6300,630,0.789485809408454,0.7686468810400578,0.07677185625538784,0.08425837247163273,0.69187502478467,0.07440149993597614,0.0,False
CPP,2,4,4,6300,630,1.3891424270142636,1.3279996371861122,0.24706581367820732,0.26151783322201166,1.080933823507905,0.11623934225049914,0.0,False
CPP,3,8,8,6300,630,1.8079020694365635,1.675540524415322,0.6038157708127359,0.6188372722124047,1.0717247536025862,0.11524903534617895,0.0,False
CPP,4,16,16,6300,630,2.1638092118420413,1.9238180367862265,1.1859249114491797,1.2022897328007391,0.7378931253370469,0.07935010421081175,0.0,False
CPP,5,32,32,6300,630,2.617564230604124,2.2566614711690436,1.94482800203934,1.9567018308855364,0.31183346912970356,0.03353333622746332,0.0,False
CPP,6,64,64,6300,630,3.2196787696709386,2.752062377052643,2.8145424548124436,2.824291020632246,0.0,0.0,0.0,False
CPP,7,128,128,6300,630,3.9692860542141233,3.4318249016797746,3.7459714558035286,3.753620874543263,0.0,0.0,0.0,False
CPP,8,256,256,6300,630,4.827366299345901,4.257959756620439,4.711130164432915,4.716841129898856,0.0,0.0,0.0,False
CQ,1,2,2,6290,630,0.5265704166850469,0.4803537154546612,0.07662117011982705,0.08242487295911162,0.40373254533483416,0.043415798908523796,0.0,False
CQ,2,4,4,6290,630,0.867127416303699,0.7465970118542316,0.24691350236457926,0.2615311175722425,0.4996835094896523,0.05373398557184983,0.0,False
CQ,3,8,8,6290,630,1.1771549478279333,0.9425163108121289,0.6054309521765959,0.6202964015080223,0.337085358635533,0.03624882441268286,0.0,False
CQ,4,16,16,6290,630,1.6062004205203735,1.2416274845119464,1.1862486098098617,1.2008003708368598,0.05537887470208469,0.005955224852759967,0.0,False
CQ,5,32,32,6290,630,2.2079068246678037,1.7364505994615613,1.9405630328035608,1.9532900123506178,0.0,0.0,0.0,False
CQ,6,64,64,6290,630,2.9278910893282415,2.384988201922172,2.7785416078404124,2.788900099849825,0.0,0.0,0.0,False
CQ,7,128,124,6290,630,3.7529392318585515,3.1774667584737486,3.657492506870465,3.6650040428584254,0.0,0.0,0.0,True
CQ,8,256,244,6290,630,4.584914388670185,3.9988912043345253,4.529525383052204,4.535143538109621,0.0,0.0,0.0,True
F0,1,2,2,6300,630,0.8274174609030389,0.8101280203336553,0.07586119950463058,0.08297151663615637,0.7342668208290247,0.07896014578630378,0.0,False
F0,2,4,4,6300,630,1.5924670975117063,1.5515907380198524,0.24592412090381482,0.26123506079866265,1.3056666171160376,0.14040621680194154,0.0,False
F0,3,8,8,6300,630,2.1406632045793046,2.0484910214113987,0.6041435050386889,0.6217381410780294,1.44434751637271,0.15531941145061048,0.0,False
F0,4,16,16,6300,630,2.5707862840855196,2.3977773787852636,1.1840819649889405,1.2003585727902517,1.2136954137963232,0.13051599785664425,0.0,False
F0,5,32,32,6300,630,2.9844933894178,2.7038548540829703,1.9440726172606406,1.9561108054870615,0.7597822368223297,0.08170397256626757,0.0,False
F0,6,64,64,6300,630,3.4991261985566453,3.1077665438139093,2.8136663297575932,2.8237045782706365,0.29410021405631603,0.03162637221092303,0.0,False
F0,7,128,128,6300,630,4.160351016872822,3.6816281624318092,3.74557992936501,3.752592470277991,0.0,0.0,0.0,False
F0,8,256,256,6300,630,4.932413289537346,4.398043626376331,4.71141321013724,4.715938540217277,0.0,0.0,0.0,False
F1,1,2,2,6300,630,0.3796472953032257,0.32205399327408696,0.0764412683605873,0.08344213516363394,0.24561272491349967,0.02641221966729326,0.0,False
F1,2,4,4,6300,630,0.6552377359874875,0.5084492405573564,0.24658056239152257,0.2588940594829304,0.2618686781658338,0.028160320496975887,0.0,False
F1,3,8,8,6300,630,0.9703016970254588,0.6926401514575432,0.6041961187877632,0.6232862107231517,0.08844403266977996,0.00951092098326008,0.0,False
F1,4,16,16,6300,630,1.4476676970735607,1.0419955915283545,1.1866431495472467,1.2017128632920118,0.0,0.0,0.0,False
F1,5,32,32,6300,630,2.1051968360919098,1.6012840682385505,1.9432499028536023,1.9576525167957262,0.0,0.0,0.0,False
F1,6,64,64,6300,630,2.9122613695939332,2.350297301285756,2.8137632061789573,2.8240679391843324,0.0,0.0,0.0,False
F1,7,128,128,6300,630,3.793605028491344,3.1996955699920537,3.7458033187896036,3.753349314822036,0.0,0.0,0.0,False
F1,8,256,256,6300,630,4.736439864919367,4.137377924131188,4.711407584174995,4.71720449081255,0.0,0.0,0.0,False
F2,1,2,2,6300,630,0.4073668724062287,0.35080406683486776,0.07644110735013104,0.08426524772633161,0.2743629594847367,0.029503906025356155,0.0,False
F2,2,4,4,6300,630,0.6976973682165664,0.5541148617661886,0.24587864631882922,0.25937218940594203,0.3082362154473594,0.03314650181369052,0.0,False
F2,3,8,8,6300,630,1.028924053130254,0.7635139654492527,0.6058561502463132,0.6229031425273083,0.15765781520293942,0.016953897029854947,0.0,False
F2,4,16,16,6300,630,1.4947493796454498,1.1014432315935778,1.1862879990828938,1.200987854831503,0.0,0.0,0.0,False
F2,5,32,32,6300,630,2.131937903494981,1.6355821096653256,1.9442656294087377,1.9594334694765831,0.0,0.0,0.0,False
F2,6,64,64,6300,630,2.914111934611345,2.3536363611866244,2.813903580930985,2.8237063684491237,0.0,0.0,0.0,False
F2,7,128,128,6300,630,3.804149387148943,3.2139039160550853,3.746607939880987,3.754189653710512,0.0,0.0,0.0,False
F2,8,256,256,6300,630,4.741800886746482,4.144570939661019,4.711317318034127,4.716202318589367,0.0,0.0,0.0,False
F3,1,2,2,6300,630,0.5663050678620607,0.525314208763787,0.07664190684018299,0.08373297761275243,0.44867230192360397,0.04824844234438528,0.0,False
F3,2,4,4,6300,630,0.9834926961984465,0.8782675578986879,0.2450561642124044,0.25804816971174266,0.6332113936862835,0.06809304538991252,0.0,False
F3,3,8,8,6300,630,1.3053431819897803,1.0932899109003866,0.6034877762101729,0.6204119845219881,0.4898021346902137,0.05267138166193619,0.0,False
F3,4,16,16,6300,630,1.7196347306205286,1.3823188901079186,1.1863374431144635,1.2043491279218812,0.1959814469934551,0.021075068608632255,0.0,False
F3,5,32,32,6300,630,2.298785393613919,1.8517789301511798,1.9440730827884183,1.956186733663656,0.0,0.0,0.0,False
F3,6,64,64,6300,630,3.025562875555279,2.499551683662906,2.8137771582250455,2.8250740020820855,0.0,0.0,0.0,False
F3,7,128,128,6300,630,3.8621854308086636,3.2908323947740663,3.7460163442062395,3.752516757282698,0.0,0.0,0.0,False
F3,8,256,256,6300,630,4.770951480475329,4.183568499541965,4.711602760206714,4.716329923351546,0.0,0.0,0.0,False
F4,1,2,2,6300,630,0.7133729517636631,0.6860075458293408,0.07636837129789402,0.08335477395630732,0.6096391745314468,0.0655581823017627,0.0,False
F4,2,4,4,6300,630,1.3518437336025233,1.2872659555817791,0.24640125107019198,0.2595537876500244,1.040864704511587,0.11193046789075911,0.0,False
F4,3,8,8,6300,630,1.7534455745753696,1.6130690571047452,0.6042022621584995,0.6194871965454818,1.0088667949462458,0.10848953942652087,0.0,False
F4,4,16,16,6300,630,2.1342637731889855,1.8875171213544049,1.1845410796874318,1.1991463565687432,0.702976041666973,0.07559525932498573,0.0,False
F4,5,32,32,6300,630,2.6017771411453445,2.2354929002085355,1.944137705934994,1.958064361067235,0.2913551942735415,0.03133118365536573,0.0,False
F4,6,64,64,6300,630,3.215059617435209,2.746069229539876,2.8130888435772716,2.8236666742048424,0.0,0.0,0.0,False
F4,7,128,128,6300,630,3.9714986311263765,3.4349534754433857,3.745907395654731,3.7541998458733308,0.0,0.0,0.0,False
F4,8,256,256,6300,630,4.843195424929389,4.279857361344175,4.710772928480493,4.7162062092639365,0.0,0.0,0.0,False
F5,1,2,2,6300,630,0.7730033454749758,0.7511339206488019,0.07697515472796411,0.08461397691572933,0.6741587659208378,0.0724963636244965,0.0,False
F5,2,4,4,6300,630,1.3742168831287422,1.3119290972363933,0.24671395966627124,0.2594768754137132,1.065215137570122,0.11454901701993087,0.0,False
