feature,b_star,q_eff_at_bstar,I_corrected_bits,NMI_corrected,perm_p
F0,3,8,1.44434751637271,0.15531941145061048,0.0
CPP,2,4,1.080933823507905,0.11623934225049914,0.0
F5,3,8,1.0793889874363558,0.11607321669781825,0.0
F4,2,4,1.040864704511587,0.11193046789075911,0.0
dCPP,2,4,0.996244498770666,0.10713218768746721,0.0
GCT,2,4,0.9379292875281501,0.1008612008327577,0.0
VTLE,2,4,0.7647273678789287,0.08223575237448576,0.0
RMS,2,4,0.7451652945517808,0.08013212448612496,0.0
SHR,2,4,0.7438200151678193,0.07998745846926615,0.0
HNR,2,4,0.7171014523412739,0.07711425004402016,0.0
NAQ,2,4,0.6896447289561967,0.07416166275585678,0.0
F3,2,4,0.6332113936862835,0.06809304538991252,0.0
MFDR,2,4,0.5024832079422508,0.0540350540550005,0.0
CQ,2,4,0.4996835094896523,0.05373398557184983,0.0
spectral_entropy,2,4,0.4895262900739079,0.05264171842440452,0.0
B4,2,4,0.4550308551822472,0.04893221597823351,0.0
SSPF,2,4,0.43369062934736424,0.0466373726117138,0.0
shimmer,2,4,0.3977519093601971,0.042772665002624326,0.0
SQ,2,4,0.37110808442231985,0.03990749359392,0.0
alpha_ratio,2,4,0.3662013293953273,0.03937984059193419,0.0
B3,2,4,0.36060844230132905,0.03877840366494649,0.0
B5,2,4,0.35131590757275843,0.03777912128410325,0.0
spectral_rolloff,2,4,0.3191735960607214,0.034322664406433424,0.0
F2,2,4,0.3082362154473594,0.03314650181369052,0.0
B2,2,4,0.2934299251872563,0.03155429200067992,0.0
F1,2,4,0.2618686781658338,0.028160320496975887,0.0
spectral_kurtosis,2,4,0.24059030203397405,0.025872128202558325,0.0
IHI,2,4,0.23780745854648153,0.02557287223559963,0.0
spectral_skewness,2,4,0.23765177539194068,0.02555613068575657,0.0
B1,2,4,0.23191008394564763,0.024938691928075265,0.0
LHR,2,4,0.23001699308362425,0.024735116434519235,0.0
semitone_SD_F0,2,4,0.22740188058550595,0.02445389759384512,0.0
jitter,2,4,0.17806598840451765,0.019148511147662105,0.0
SPI,1,2,0.16557492447339384,0.017805271604420865,0.0
speech_rate,1,2,0.13372759684689084,0.014380536125492827,0.0
GNE,1,2,0.07634806185485486,0.008210168188935251,0.0
spectral_flux,1,2,0.06714256432744485,0.007220245443986647,0.0
AMD,1,2,0.030770055770464988,0.003308889930155719,0.0
BGD,1,2,0.0,0.0,0.0
VOT,1,2,0.0,0.0,0.0
