feature,n_speakers,q2_realized,q2_degenerate,q3_realized,q3_degenerate,q5_realized,q5_degenerate,q10_realized,q10_degenerate
F0,630,2,False,3,False,5,False,10,False
jitter,630,2,False,3,False,5,False,10,False
shimmer,630,2,False,3,False,5,False,10,False
SHR,630,2,False,3,False,5,False,10,False
semitone_SD_F0,630,2,False,3,False,5,False,10,False
F1,630,2,False,3,False,5,False,10,False
F2,630,2,False,3,False,5,False,10,False
F3,630,2,False,3,False,5,False,10,False
F4,630,2,False,3,False,5,False,10,False
F5,630,2,False,3,False,5,False,10,False
B1,630,2,False,3,False,5,False,10,False
B2,630,2,False,3,False,5,False,10,False
B3,630,2,False,3,False,5,False,10,False
B4,630,2,False,3,False,5,False,10,False
B5,630,2,False,3,False,5,False,10,False
spectral_skewness,630,2,False,3,False,5,False,10,False
spectral_kurtosis,630,2,False,3,False,5,False,10,False
spectral_entropy,630,2,False,3,False,5,False,10,False
spectral_rolloff,630,2,False,3,False,5,False,10,False
spectral_flux,630,2,False,3,False,5,False,10,False
alpha_ratio,630,2,False,3,False,5,False,10,False
LHR,630,2,False,3,False,5,False,10,False
SPI,630,2,False,3,False,5,False,10,False
GNE,630,2,False,3,False,5,False,10,False
CPP,630,2,False,3,False,5,False,10,False
dCPP,630,2,False,3,False,5,False,10,False
RMS,630,2,False,3,False,5,False,10,False
AMD,630,2,False,3,False,5,False,10,False
speech_rate,630,2,False,3,False,5,False,10,False
VOT,630,2,False,3,False,5,False,10,False
