feature,coverage,attempted,status
F0,1.0,True,MEASURED
jitter,1.0,True,MEASURED
shimmer,1.0,True,MEASURED
GCT,0.0,False,NOT-MEASURED
CQ,0.0,False,NOT-MEASURED
MFDR,0.0,False,NOT-MEASURED
SQ,0.0,False,NOT-MEASURED
NAQ,0.0,False,NOT-MEASURED
SHR,1.0,True,MEASURED
IHI,0.0,False,NOT-MEASURED
VFP,0.0,False,NOT-MEASURED
semitone_SD_F0,1.0,True,MEASURED
F1,1.0,True,MEASURED
F2,1.0,True,MEASURED
F3,1.0,True,MEASURED
F4,1.0,True,MEASURED
F5,1.0,True,MEASURED
B1,1.0,True,MEASURED
B2,1.0,True,MEASURED
B3,1.0,True,MEASURED
B4,1.0,True,MEASURED
B5,1.0,True,MEASURED
Nasality,0.0,False,NOT-MEASURED
spectral_skewness,1.0,True,MEASURED
spectral_kurtosis,1.0,True,MEASURED
spectral_entropy,1.0,True,MEASURED
spectral_rolloff,1.0,True,MEASURED
spectral_flux,1.0,True,MEASURED
alpha_ratio,1.0,True,MEASURED
LHR,1.0,True,MEASURED
SPI,1.0,True,MEASURED
GNE,1.0,True,MEASURED
SSPF,0.0,False,NOT-MEASURED
CPP,1.0,True,MEASURED
dCPP,1.0,True,MEASURED
RMS,1.0,True,MEASURED
AMD,1.0,True,MEASURED
speech_rate,1.0,True,MEASURED
VOT,0.9014,True,MEASURED
BGD,0.0,False,NOT-MEASURED
