split,dialect,speaker,sex,utt,utt_id,wav,phn
TRAIN,DR1,FCJF0,F,SA1,FCJF0_SA1,C:\Users\shuoo\Desktop\voice_unique\data\TIMIT\TRAIN\DR1\FCJF0\SA1.WAV,C:\Users\shuoo\Desktop\voice_unique\data\TIMIT\TRAIN\DR1\FCJF0\SA1.PHN
TRAIN,DR1,FCJF0,F,SA2,FCJF0_SA2,C:\Users\shuoo\Desktop\voice_unique\data\TIMIT\TRAIN\DR1\FCJF0\SA2.WAV,C:\Users\shuoo\Desktop\voice_unique\data\TIMIT\TRAIN\DR1\FCJF0\SA2.PHN
TRAIN,DR1,FCJF0,F,SI1027,FCJF0_SI1027,C:\Users\shuoo\Desktop\voice_unique\data\TIMIT\TRAIN\DR1\FCJF0\SI1027.WAV,C:\Users\shuoo\Desktop\voice_unique\data\TIMIT\TRAIN\DR1\FCJF0\SI1027.PHN
TRAIN,DR1,FCJF0,F,SI1657,FCJF0_SI1657,C:\Users\shuoo\Desktop\voice_unique\data\TIMIT\TRAIN\DR1\FCJF0\SI1657.WAV,C:\Users\shuoo\Desktop\voice_unique\data\TIMIT\TRAIN\DR1\FCJF0\SI1657.PHN
TRAIN,DR1,FCJF0,F,SI648,FCJF0_SI648,C:\Users\shuoo\Desktop\voice_unique\data\TIMIT\TRAIN\DR1\FCJF0\SI648.WAV,C:\Users\shuoo\Desktop\voice_unique\data\TIMIT\TRAIN\DR1\FCJF0\SI648.PHN
TRAIN,DR1,FCJF0,F,SX127,FCJF0_SX127,C:\Users\shuoo\Desktop\voice_unique\data\TIMIT\TRAIN\DR1\FCJF0\SX127.WAV,C:\Users\shuoo\Desktop\voice_unique\data\TIMIT\TRAIN\DR1\FCJF0\SX127.PHN
TRAIN,DR1,FCJF0,F,SX217,FCJF0_SX217,C:\Users\shuoo\Desktop\voice_unique\data\TIMIT\TRAIN\DR1\FCJF0\SX217.WAV,C:\Users\shuoo\Desktop\voice_unique\data\TIMIT\TRAIN\DR1\FCJF0\SX217.PHN
TRAIN,DR1,FCJF0,F,SX307,FCJF0_SX307,C:\Users\shuoo\Desktop\voice_unique\data\TIMIT\TRAIN\DR1\FCJF0\SX307.WAV,C:\Users\shuoo\Desktop\voice_unique\data\TIMIT\TRAIN\DR1\FCJF0\SX307.PHN
TRAIN,DR1,FCJF0,F,SX37,FCJF0_SX37,C:\Users\shuoo\Desktop\voice_unique\data\TIMIT\TRAIN\DR1\FCJF0\SX37.WAV,C:\Users\shuoo\Desktop\voice_unique\data\TIMIT\TRAIN\DR1\FCJF0\SX37.PHN
TRAIN,DR1,FCJF0,F,SX397,FCJF0_SX397,C:\Users\shuoo\Desktop\voice_unique\data\TIMIT\TRAIN\DR1\FCJF0\SX397.WAV,C:\Users\shuoo\Desktop\voice_unique\data\TIMIT\TRAIN\DR1\FCJF0\SX397.PHN
TRAIN,DR1,FDAW0,F,SA1,FDAW0_SA1,C:\Users\shuoo\Desktop\voice_unique\data\TIMIT\TRAIN\DR1\FDAW0\SA1.WAV,C:\Users\shuoo\Desktop\voice_unique\data\TIMIT\TRAIN\DR1\FDAW0\SA1.PHN
TRAIN,DR1,FDAW0,F,SA2,FDAW0_SA2,C:\Users\shuoo\Desktop\voice_unique\data\TIMIT\TRAIN\DR1\FDAW0\SA2.WAV,C:\Users\shuoo\Desktop\voice_unique\data\TIMIT\TRAIN\DR1\FDAW0\SA2.PHN
TRAIN,DR1,FDAW0,F,SI1271,FDAW0_SI1271,C:\Users\shuoo\Desktop\voice_unique\data\TIMIT\TRAIN\DR1\FDAW0\SI1271.WAV,C:\Users\shuoo\Desktop\voice_unique\data\TIMIT\TRAIN\DR1\FDAW0\SI1271.PHN
TRAIN,DR1,FDAW0,F,SI1406,FDAW0_SI1406,C:\Users\shuoo\Desktop\voice_unique\data\TIMIT\TRAIN\DR1\FDAW0\SI1406.WAV,C:\Users\shuoo\Desktop\voice_unique\data\TIMIT\TRAIN\DR1\FDAW0\SI1406.PHN
TRAIN,DR1,FDAW0,F,SI2036,FDAW0_SI2036,C:\Users\shuoo\Desktop\voice_unique\data\TIMIT\TRAIN\DR1\FDAW0\SI2036.WAV,C:\Users\shuoo\Desktop\voice_unique\data\TIMIT\TRAIN\DR1\FDAW0\SI2036.PHN
TRAIN,DR1,FDAW0,F,SX146,FDAW0_SX146,C:\Users\shuoo\Desktop\voice_unique\data\TIMIT\TRAIN\DR1\FDAW0\SX146.WAV,C:\Users\shuoo\Desktop\voice_unique\data\TIMIT\TRAIN\DR1\FDAW0\SX146.PHN
TRAIN,DR1,FDAW0,F,SX236,FDAW0_SX236,C:\Users\shuoo\Desktop\voice_unique\data\TIMIT\TRAIN\DR1\FDAW0\SX236.WAV,C:\Users\shuoo\Desktop\voice_unique\data\TIMIT\TRAIN\DR1\FDAW0\SX236.PHN
TRAIN,DR1,FDAW0,F,SX326,FDAW0_SX326,C:\Users\shuoo\Desktop\voice_unique\data\TIMIT\TRAIN\DR1\FDAW0\SX326.WAV,C:\Users\shuoo\Desktop\voice_unique\data\TIMIT\TRAIN\DR1\FDAW0\SX326.PHN
TRAIN,DR1,FDAW0,F,SX416,FDAW0_SX416,C:\Users\shuoo\Desktop\voice_unique\data\TIMIT\TRAIN\DR1\FDAW0\SX416.WAV,C:\Users\shuoo\Desktop\voice_unique\data\TIMIT\TRAIN\DR1\FDAW0\SX416.PHN
