speaker,sex,dr,height_cm,age_yr
MABC0,M,DR6,180.3,25.7
MABW0,M,DR2,175.3,26.9
MADC0,M,DR3,175.3,31.8
MADD0,M,DR7,188.0,27.9
FADG0,F,DR4,162.6,26.8
MAEB0,M,DR4,180.3,48.6
FAEM0,F,DR2,160.0,25.8
MAEO0,M,DR7,180.3,30.6
MAFM0,M,DR7,172.7,33.3
MAHH0,M,DR5,177.8,33.0
MAJC0,M,DR8,182.9,27.2
MAJP0,M,DR6,180.3,22.7
FAJW0,F,DR2,172.7,27.9
MAKB0,M,DR3,182.9,34.6
MAKR0,M,DR3,182.9,22.9
FAKS0,F,DR1,162.6,28.3
FALK0,F,DR3,167.6,47.5
FALR0,F,DR4,162.6,23.7
FAPB0,F,DR6,165.1,40.6
MAPV0,M,DR3,177.8,37.9
MARC0,M,DR2,175.3,28.2
MARW0,M,DR4,177.8,25.3
FASW0,F,DR5,167.6,55.2
FAWF0,F,DR5,170.2,27.3
MBAR0,M,DR7,185.4,23.6
FBAS0,F,DR4,165.1,52.5
MBBR0,M,DR7,172.7,28.7
MBCG0,M,DR8,172.7,26.6
FBCG1,F,DR8,144.8,27.1
FBCH0,F,DR6,167.6,26.7
MBDG0,M,DR3,180.3,27.9
MBEF0,M,DR3,180.3,33.3
MBGT0,M,DR5,177.8,27.9
MBJK0,M,DR2,190.5,24.3
FBJL0,F,DR5,170.2,23.5
MBJV0,M,DR2,182.9,24.4
FBLV0,F,DR7,172.7,27.4
MBMA0,M,DR4,190.5,44.3
MBMA1,M,DR6,188.0,31.6
FBMH0,F,DR5,167.6,39.9
FBMJ0,F,DR4,160.0,45.7
MBML0,M,DR7,188.0,26.4
MBNS0,M,DR4,180.3,29.4
MBOM0,M,DR7,177.8,26.7
MBPM0,M,DR5,175.3,25.6
MBSB0,M,DR8,180.3,23.2
MBTH0,M,DR7,188.0,23.8
MBWM0,M,DR3,188.0,31.2
MBWP0,M,DR4,182.9,38.8
MCAE0,M,DR6,182.9,28.8
FCAG0,F,DR4,180.3,24.0
FCAJ0,F,DR2,172.7,35.6
MCAL0,M,DR3,190.5,26.6
FCAL1,F,DR5,162.6,30.1
FCAU0,F,DR7,177.8,23.1
MCCS0,M,DR2,172.7,43.8
MCDC0,M,DR3,175.3,26.3
MCDD0,M,DR3,188.0,30.9
MCDR0,M,DR4,177.8,25.1
FCDR1,F,DR5,172.7,23.3
MCEF0,M,DR3,172.7,28.2
FCEG0,F,DR8,160.0,27.4
MCEM0,M,DR2,175.3,28.5
MCEW0,M,DR2,188.0,46.7
FCFT0,F,DR4,160.0,22.9
MCHH0,M,DR7,195.6,43.6
MCHL0,M,DR5,190.5,25.2
FCJF0,F,DR1,162.6,23.6
FCJS0,F,DR7,175.3,41.7
FCKE0,F,DR3,172.7,25.8
MCLK0,M,DR7,177.8,21.7
MCLM0,M,DR5,190.5,40.3
FCLT0,F,DR8,152.4,39.4
MCMB0,M,DR5,190.5,37.4
FCMG0,F,DR3,167.6,25.8
FCMH0,F,DR3,172.7,42.8
FCMH1,F,DR8,167.6,23.9
MCMJ0,M,DR6,170.2,27.9
FCMM0,F,DR2,157.5,25.9
FCMR0,F,DR2,160.0,34.8
MCPM0,M,DR1,167.6,23.9
MCRC0,M,DR5,170.2,38.5
MCRE0,M,DR7,182.9,25.4
FCRH0,F,DR4,162.6,27.9
FCRZ0,F,DR7,157.5,56.5
MCSH0,M,DR3,180.3,53.3
MCSS0,M,DR4,177.8,24.5
MCTH0,M,DR7,188.0,26.3
MCTM0,M,DR2,182.9,30.5
MCTT0,M,DR5,180.3,23.8
MCTW0,M,DR3,203.2,26.0
MCXM0,M,DR8,175.3,27.5
FCYL0,F,DR2,170.2,27.0
MDAB0,M,DR1,180.3,23.3
MDAC0,M,DR1,177.8,25.2
FDAC1,F,DR1,154.9,-32.7
MDAC2,M,DR5,177.8,25.0
MDAS0,M,DR5,185.4,24.6
FDAS1,F,DR2,175.3,26.2
FDAW0,F,DR1,162.6,25.6
MDAW1,M,DR8,177.8,28.3
MDBB0,M,DR2,177.8,52.3
MDBB1,M,DR3,180.3,24.1
MDBP0,M,DR2,175.3,24.0
MDCD0,M,DR4,180.3,52.3
MDCM0,M,DR7,180.3,26.3
MDDC0,M,DR3,170.2,32.6
MDED0,M,DR7,177.8,26.1
MDEF0,M,DR3,175.3,34.2
MDEM0,M,DR2,182.9,24.4
FDFB0,F,DR3,167.6,24.3
FDHC0,F,DR7,170.2,30.0
MDHL0,M,DR5,172.7,33.6
MDHS0,M,DR3,167.6,32.7
FDJH0,F,DR3,157.5,25.0
MDJM0,M,DR3,193.0,26.0
FDKN0,F,DR4,182.9,31.8
MDKS0,M,DR7,195.6,29.1
MDLB0,M,DR2,172.7,34.8
MDLC0,M,DR3,172.7,43.8
MDLC1,M,DR7,185.4,35.9
MDLC2,M,DR2,175.3,26.4
MDLD0,M,DR2,177.8,24.7
MDLF0,M,DR7,190.5,24.7
MDLH0,M,DR3,180.3,30.9
MDLM0,M,DR7,188.0,33.6
MDLR0,M,DR7,172.7,29.8
MDLR1,M,DR7,175.3,23.1
MDLS0,M,DR4,175.3,26.8
MDMA0,M,DR4,175.3,27.9
FDML0,F,DR1,167.6,22.9
FDMS0,F,DR4,162.6,32.0
MDMT0,M,DR2,182.9,29.6
FDMY0,F,DR5,167.6,25.4
FDNC0,F,DR2,162.6,39.8
MDNS0,M,DR3,172.7,30.4
MDPB0,M,DR7,175.3,26.5
MDPK0,M,DR1,157.5,25.6
MDPS0,M,DR2,185.4,32.8
MDRB0,M,DR5,182.9,26.4
MDRD0,M,DR6,195.6,24.7
FDRD1,F,DR2,162.6,22.7
MDRM0,M,DR4,182.9,30.5
