feature,b_star,q_eff,usable_bits,norm_MI,perm_p,I_mm_bits
F0,3,8,1.3930579641899006,0.14980393614546678,0.004975124378109453,1.646008829344997
F4,3,8,1.1574158221471325,0.12446391347075791,0.004975124378109453,1.4098933528698983
F5,3,8,1.125866806035128,0.12107125723061114,0.004975124378109453,1.378128835945717
RMS,3,8,0.9800754565624623,0.10539343292725185,0.004975124378109453,1.2335352107987814
GCT,3,8,0.9529222849475043,0.10247348839420471,0.004975124378109453,1.2046223983163047
CPP,3,8,0.7976763920320196,0.08577895993452107,0.004975124378109453,1.048949125527599
B1,3,8,0.7964930113813748,0.08565170386622958,0.004975124378109453,1.0493229806663849
MFDR,3,8,0.7709403260734347,0.08290386929177819,0.004975124378109453,1.0222198081040321
CQ,3,8,0.7572834437475112,0.08143526225568223,0.004975124378109453,1.0097399864049512
SHR,3,8,0.7155185734361171,0.07694403351568496,0.004975124378109453,0.9677896687608385
B4,2,4,0.6933814105477599,0.07456349069477101,0.004975124378109453,0.7401085528747692
spectral_flux,3,8,0.689496181042643,0.07414568850156976,0.004975124378109453,0.9427153254740754
dCPP,3,8,0.6760371339751149,0.07269835588561842,0.004975124378109453,0.928086070798143
B5,3,8,0.6552171199951459,0.07045945404163324,0.004975124378109453,0.9061475599308138
shimmer,2,4,0.6223318929076549,0.06692310696535889,0.004975124378109453,0.6683508602425262
NAQ,3,8,0.5838274877255423,0.0627824957320175,0.004975124378109453,0.8344994211483994
F3,3,8,0.5809234104264993,0.062470202761121404,0.004975124378109453,0.8322158685270947
alpha_ratio,3,8,0.5782007514544742,0.062177418798590234,0.004975124378109453,0.830936649624825
VFP,3,5,0.5602828464494755,0.06025059825972608,0.004975124378109453,0.6866786030559229
SQ,2,4,0.5488138025218005,0.05901726269985934,0.004975124378109453,0.5946798297110609
spectral_entropy,2,4,0.4874308792541904,0.05241638624390331,0.004975124378109453,0.5340876302695224
B3,3,8,0.4632275447787486,0.04981365551376107,0.004975124378109453,0.7157119315639445
semitone_SD_F0,3,8,0.45503146820880425,0.04893228190068151,0.004975124378109453,0.7071701919924888
SSPF,2,4,0.42256868051639396,0.045441362283847285,0.004975124378109453,0.46937772934764077
spectral_kurtosis,3,8,0.4214360848899975,0.04531956743592508,0.004975124378109453,0.6725431285069313
F1,3,8,0.39789977736561866,0.04278856614228366,0.004975124378109453,0.6495444872151602
jitter,2,4,0.3932235261732428,0.04228570060974266,0.004975124378109453,0.4392795847530206
F2,2,4,0.3792856767699294,0.04078687948693799,0.004975124378109453,0.42574833659094186
LHR,3,8,0.3665854668772896,0.03942114921533554,0.004975124378109453,0.6188171724859579
SPI,2,4,0.3658212543785706,0.039338968829951325,0.004975124378109453,0.4125780833823957
B2,2,4,0.3622907035397822,0.03895930737579228,0.004975124378109453,0.4088775737869379
spectral_skewness,2,4,0.3531539397171424,0.037976775981229026,0.004975124378109453,0.3993229967896601
Nasality,2,4,0.33417137587195217,0.03593546624736179,0.004975124378109453,0.37979031114013795
speech_rate,2,4,0.3325761359267612,0.03576392046173825,0.004975124378109453,0.37956401912351223
spectral_rolloff,2,4,0.24130421173141264,0.025948899223921327,0.004975124378109453,0.2880242169739542
GNE,3,8,0.2279567630650317,0.02451356745803448,0.004975124378109453,0.47966679715541594
BGD,2,4,0.18891464930975896,0.020315133174375596,0.004975124378109453,0.23776939799029742
IHI,3,8,0.1574695003823005,0.016933646399880164,0.004975124378109453,0.40889683748847117
AMD,3,8,0.1408191242707602,0.015143130898063495,0.004975124378109453,0.391888723175474
VOT,3,8,0.08646670410893231,0.009298286901202997,0.004975124378109453,0.35312901471725067
