feature,display,group,b_star,q_eff,I_corrected_bits,NMI,perm_p,N
F0,F0,glottal_source,2,4,0.6619361186811713,0.04946435390440936,0.0,53366
RMS,RMS,articulatory_prosodic,2,4,0.6370636699473166,0.047605715930261805,0.0,53380
CPP,CPP,articulatory_prosodic,2,4,0.500163199139423,0.037375584733895455,0.0,53380
GCT,GCT,glottal_source,2,4,0.47205172062513334,0.03527490449789706,0.0,53359
AlphaRatio,alpha_ratio,spectral_envelope,2,4,0.4417533935657043,0.03301080811444983,0.0,53380
LHR,LHR,spectral_envelope,2,4,0.4317521190684688,0.032263445087618706,0.0,53380
dCPP,dCPP,articulatory_prosodic,2,4,0.43159502018430873,0.03225170559405615,0.0,53380
SPI,SPI,spectral_envelope,2,4,0.41030073070191775,0.030660451934717364,0.0,53380
SpectralRolloff,spectral_rolloff,spectral_envelope,2,4,0.39686809108222587,0.029656674045481404,0.0,53380
SpectralKurtosis,spectral_kurtosis,spectral_envelope,2,4,0.39117144617425936,0.02923098212167942,0.0,53380
SpectralSkewness,spectral_skewness,spectral_envelope,2,4,0.3772455343966652,0.028190343593023626,0.0,53380
SpectralEntropy,spectral_entropy,spectral_envelope,2,4,0.37265193177990286,0.02784707846649682,0.0,53380
F5,F5,vocal_tract_filter,2,4,0.37030218015163663,0.027671489096393262,0.0,53380
F4,F4,vocal_tract_filter,2,4,0.3516575770451579,0.026278237964692554,0.0,53380
F3,F3,vocal_tract_filter,2,4,0.3503305094190129,0.026179070475773072,0.0,53380
SpectralFlux,spectral_flux,spectral_envelope,2,4,0.34874041839540093,0.026060248095618212,0.0,53380
shimmer,shimmer,glottal_source,2,4,0.3328243976087818,0.024870895131305255,0.0,53368
CQ,CQ,glottal_source,2,4,0.3256102834649851,0.024331807619618284,0.0,53359
B1,B1,vocal_tract_filter,2,4,0.3222214177800705,0.024078568603280722,0.0,53380
F1,F1,vocal_tract_filter,2,4,0.3074007132481692,0.022971065094423617,0.0,53380
B4,B4,vocal_tract_filter,2,4,0.29854046058034245,0.0223089669534171,0.0,53380
F2,F2,vocal_tract_filter,2,4,0.29297607203767206,0.021893158121766294,0.0,53380
B5,B5,vocal_tract_filter,2,4,0.26991834506542167,0.020170128459237803,0.0,53380
B2,B2,vocal_tract_filter,2,4,0.264967843925789,0.019800193455747052,0.0,53380
Nasality,Nasality,vocal_tract_filter,2,4,0.25703866493611693,0.01920767145151199,0.0,53380
B3,B3,vocal_tract_filter,1,2,0.25593625843138,0.019125292164511493,0.0,53380
jitter,jitter,glottal_source,1,2,0.21764605041642998,0.016263988260898393,0.0,53370
NAQ,NAQ,glottal_source,1,2,0.19976613834283058,0.014927880026843511,0.0,53359
SSPF,SSPF,spectral_envelope,2,4,0.19764684090152018,0.014769511755786559,0.0,47115
SQ,SQ,glottal_source,2,4,0.17076426734806482,0.012760663628932932,0.0,53355
IHI,IHI,glottal_source,1,2,0.1658833337291043,0.012395927182169432,0.0,53240
AMD,AMD,articulatory_prosodic,1,2,0.14570596206883335,0.01088813719383497,0.0,53380
VFI,VFP,glottal_source,2,2,0.13978285872603047,0.01044552276067105,0.0,53342
SHR,SHR,glottal_source,1,2,0.13697624893404162,0.010235793851635063,0.0,53361
SemitoneSDF0,semitone_SD_F0,glottal_source,2,4,0.1281731424400755,0.009577966060120518,0.0,53366
MFDR,MFDR,glottal_source,1,2,0.10626348811263991,0.007940728168139666,0.0,53359
SpeechRate,speech_rate,articulatory_prosodic,1,2,0.10574485478790133,0.007901972370416161,0.0,53380
BGD,BGD,articulatory_prosodic,1,2,0.061110860986162724,0.0045666177897125525,0.0,53380
GNE,GNE,spectral_envelope,1,2,0.0598771077337322,0.004474423383354235,0.0,53380
